Palabra (concepto),Descripción,Codificación
Éxito,cumple desea,deseo
Éxito,relaciona suerte,suerte
Éxito,requiere esfuerzo llegar,esfuerzo
Éxito,relacionan felicidad,felicidad
Obsesión,fijación mantenida tiempo objeto persona,fijación
Obsesión,constituir enfermedad mental,enfermedad
Obsesión,provoca deseo alguien,deseo
Plan,forma estructurada cosas,estructura
Plan,ayuda definir tareas actividdes,ayuda
Plan,define metodos caminos llegar objetivo,método
Plan,estrategia,estrategia
Compasión,sentirse afectado miserias projimo,empatía
Compasión,voluntad ayudar projimo problemas,ayuda
Compasión,relacionado empatia,empatía
Desesperación,sufrimiento encontrar salida situación problemática,sufrimiento
Desesperación,sucede ven caminos posibles seguir,no camino
Desesperación,siente forma mejorarlo,no mejoría
Esperanza,sentimiento asegura mejorará algun momento,mejorar
Esperanza,cosas venir,bien
Esperanza,pierde,lo último que se pierde
Esperanza,fuerza motora cosas,fuerza
Razón ,habilidad cognitiva unicamente poseida humano,habilidades
Razón ,característica determinante existencia humano,características
Razón ,relacionado pensamiento,pensamiento
Razón ,persona correcto,correcto
Oportunidad,opcion viable actuar,opción
Decisión,escoger opciones,elección
Decisión,exige compromiso escogido,compromiso
Decisión,sucede analisis opciones,análisis
Decisión,opciones,opinión
Decisión,compromiso,compromiso
Peligro,situacion cuidado,cuidado
Peligro,precaución,precaución
Peligro,situacion evitar,evitación
Ansiedad,problema sicológico,problemas
Ansiedad,produce ataques,cambio corporal
Compasión,acto aliviar sufriemto,alivio
Obsesión,obstinamiento alguien,obstinación
Verdad,correcto,correcto
Verdad,piensa corrobora empiricamente,pensamiento
Verdad,realidad pensamientos alineados,real
Verdad,real,real
Pensamiento,mente,mente
Pensamiento,idea persona,idea
Pensamiento,tangible,abstracción
Culpa,remordimiento,remordimiento
Culpa,sentimiento malo,mal
Culpa,habilidad persona darse erroneo,habilidades
Desesperación,perdida esperanza,desesperanza
Desesperación,paciencia,impaciencia
Desesperación,tranquilidad animo,intranquilidad
Honestidad,honradez,honradez
Honestidad,actuar piensa siente,acuerdo
Excusa,argumento justificar actuar,argumentación
Excusa,justificación,justificación
Acuerdo,contrato,contrato
Acuerdo,pacto,pacto
Acuerdo,tratado,tratado
Acuerdo,convenio,convenio
Seguridad,sentimiento tranquilidad,tranquilidad
Seguridad,ausencia riesgo,no riesgo
Esperanza,pensamientos positivos suceder,positivo
Esperanza,querer suceda esperado,querer
Esperanza,fe situacion,fe
Esperanza,positivo,positivo
Decisión,opciones tomar,opción
Definición,sentido cosas,sentido
Definición,busca diccionarios comprender palabras,diccionario
Definición,entiende palabara busca,palabra
Plan,idea guia situacion llevara cabo,idea
Plan,oficiales militares ocupan rescates,militar
Agradecimiento,accion gracias,gratitud
Éxito,actividad busca,búsqueda
Éxito,laboral sentimental,laboral
Éxito,logra objetivo,objetivos
Éxito,cantante seguidores,seguidores
Éxito,persona mentaliza logra,mentalización
Éxito,recorrer camino llegar,camino
Amenaza,malo,mal
Amenaza,alguien ataca,ataque
Amenaza,decirle persona atacar,advertencia
Amenaza,palabras atacar,ataque
Razón ,ocupa cabeza,cabeza
Razón ,objetivo,objetividad
Razón ,personas discute,cierto
Razón ,cuestionar,cuastionamiento
Razón ,debatir,debate
Obsesión,descontrolado,descontrol
Obsesión,objetivo busca,objetivos
Peligro,susto,susto
Peligro,sentirse,mal
Peligro,atacado,ataque
Peligro,sentir amenaza,amenaza
Compasión,siente persona,persona
Compasión,sentimiento alguien,mal
Compasión,evitar dolor ajeno,evitación
Compasión,personas,dos o más partes
Compasión,sentir tristeza persona cosa,tristeza
Acuerdo,pacto personas,pacto
Acuerdo,verbal escrito,verbal/escrito
Acuerdo,común,común
Desesperación,control,incontrolable
Desesperación,persona siente,personal
Desesperación,controlar actos,incontrolable
Desesperación,esperanza,desesperanza
Desesperación,paciencia,impaciencia
Agradecimiento,contento persona,felicidad
Agradecimiento,siente persona,bien
Agradecimiento,sentimiento acto,sentimiento
Plan,forma ordenar vida,orden
Plan,organizar actividades semana mes año,organización
Plan,compañias telefono ofrece,telefonía
Plan,organización,organización
Plan,forma ordenar,orden
Plan,actividades,actividades
Plan,comprar,comprar
Plan,estrategia,estrategia
Plan,ponerse,acuerdo
Plan,organización,organización
Plan,elaborar procedimiento,procedimiento
Plan,establecer pasos,pasos
Plan,receta,receta
Plan,ejecutar,anticipación
Plan,mapa previo,mapa
Plan,analizar,análisis
Seguridad,confianza,confianza
Seguridad,policia brinda,policias
Seguridad,guardias dedican,guardias
Seguridad,garantiza,estado
Seguridad,riesgo,no riesgo
Seguridad,percepción peligro,peligro
Seguridad,paz,paz
Razón ,coherencia,coherencia
Razón ,lema patrio chile,lema patrio
Razón ,gana discusión,ganar
Razón ,gente loca pierde,no locura
Peligro,riesgo,riesgo
Peligro,expuesto situación dañina,daño
Peligro,salir,mal
Peligro,tirarse parapante,deporte extremo
Oportunidad,alternativa elegir,alternativa
Oportunidad,chance,chance
Oportunidad,camino optar,camino
Oportunidad,via alternativa,alternativa
Oportunidad,comprar oferta flash,oferta
Oportunidad,merecen,segunda
Oportunidad,opción,opción
Compasión,empatía,empatía
Compasión,colocarse lugar,empatía
Compasión,contrario venganza,no venganza
Compasión,perdonar,perdón
Compasión,benevolo,bondad
Compasión,levantar enemigo suelo,enemigo
Desesperación,impotencia,impotencia
Desesperación,sobreexagerar situación,sobre exageración
Desesperación,alternativas importante,no acción
Desesperación,cambiar,no acción
Desesperación,perder calma,intranquilidad
Desesperación,contrario relajado,intranquilidad
Agradecimiento,responder ayuda,ayuda
Agradecimiento,gratitud,gratitud
Agradecimiento,reconocer ayuda,reconocimiento
Agradecimiento,mencionar aporte positivo alguien,positivo
Agradecimiento,educado,educación
Obligación,deber cumplir,deber
Obligación,responsabilidad,responsabilidad
Obligación,compromiso,compromiso
Obligación,imponerle alguien haga,imposición
Obsesión,cegarse,ceguera
Obsesión,actuar irracionalmente,irracional
Obsesión,querer cosas,querer
Obsesión,desear costa,deseo
Acuerdo,beneficio participantes,beneficios
Ganancia ,implica beneficio individuo,beneficios
Verdad,carácter subjetivo,subjetivo
Verdad,recomfortante perturbadora,bien/mal
Verdad,buscada cantidad gente,búsqueda
Excusa,vista sociedad,mal
Excusa,usada justificar malas acciones,justificación
Excusa,empleada gente irresponsable,irresponsabilidad
Esperanza,sentimiento positivo,positivo
Esperanza,experimentado momentos dificultad,dificultad
Esperanza,tema presente religion,religión
Ansiedad,experimentado situaciones estresantes ajenas individuo,estrés
Ansiedad,falta adaptacion individuo,desadaptación
Ansiedad,experimentada algun momento,todos
Honestidad,caracteristica vista positiva,positivo
Honestidad,otorga congruencia actuar individuo,congruencia
Honestidad,ayuda mantener relaciones saludables personas,ayuda
Honestidad,persona ejerce confiable,confianza
Obsesión,forma actuar cosa,acción
Obsesión,connotación negativa,negativo
Obsesión,ejerce persona objeto,persona/objeto
Obsesión,problema necesita corregir,problemas
Obsesión,incapacidad concentrarse cosa,atención
Pensamiento,capacidad humana,humano
Pensamiento,ejerce momento consciente,conciencia
Pensamiento,proceso consume energia,gasto energético
Pensamiento,culmina formacion ideas,idea
Sugerencia ,idea transferida persona,idea
Sugerencia ,percepcion idea persona posee,idea
Sugerencia ,intencion positiva ayudar,ayuda
Sugerencia ,respondida agresiva receptor,agresión
Felicidad,sensación positiva,postivo
Felicidad,anímico,ánimo
Felicidad,deseo humano,deseo
Felicidad,caracteristico humano,humano
Felicidad,alegría,alegría
Felicidad,,bienestar
Felicidad,equilibrio,equilibrio
Desesperación,incapacidad reaccionar frente problema,incapacidad
Desesperación,incapacidad actuar correctamente,incapacidad
Desesperación,cólera,cólera
Desesperación,alteración ánimo,alteración
Desesperación,pérdida esperanza,desesperanza
Éxito,logros,logro
Éxito,triunfos,triunfo
Éxito,cumplimiento metas personales,cumplimiento
Éxito,aspiración,aspiraciones
Peligro,dañino,daño
Peligro,seguro,inseguridad
Culpa,sensación remordimiento humano,remordimiento
Culpa,sentimiento falta cometer acto intencionalmente,intención
Culpa,responsabilizarse acciones,responsabilidad
Habilidad,capacidad(es destacan persona resto,capacidad
Habilidad,caracteristica(s destaca(n persona resto,características
Habilidad,alguien realiza acción,manera
Habilidad,diferenciación,diferenciación
Definición,descripción alguien,descripción
Definición,caracteristicas alguien,caracterización
Definición,significado alguien,significado
Oportunidad,ocasión conveniente,conveniencia
Seguridad,proteger,protección
Seguridad,acoger,acogedor
Seguridad,sensación tranquilidad,tranquilidad
Seguridad,peligroso,no peligro
Seguridad,dañino,no daño
Honestidad,,verdad
Honestidad,fiel,fiel
Honestidad,correcto,correcto
Honestidad,caracteristica humano,características
Honestidad,cabida mentira,no mentir
Compasión,siente personas,otro/alguien
Compasión,solidaridad,solidaridad
Compasión,entiendes lugar,entendimiento
Compasión,sientes persona pasa negativo,negativo
Compasión,sentimiento positivo,positivo
Compasión,permite personas ayuden,ayuda
Compasión,caridad,caridad
Amenaza,rabia,rabia
Amenaza,intimidación,intimidación
Amenaza,desea negativo persona,mal
Amenaza,ira,irá
Amenaza,enojo,enojo
Amenaza,intención impedir,disuasión
Amenaza,sentir invulnerabilidad,invulnerable
Seguridad,estabilidad,estabilidad
Seguridad,confort,confort
Seguridad,protección,protección
Seguridad,siente,bien
Seguridad,guardias,guardias
Seguridad,escudos,escudo
Seguridad,alarmas,alarma
Seguridad,criminales violan,criminales la violan
Seguridad,confianza,confianza
Éxito,triunfo,triunfo
Éxito,cosas salen,bien
Éxito,sentimiento positivo,positivo
Éxito,logras,logro
Éxito,satisfacción,satisfacción
Éxito,goce,gozo
Excusa,idea evitar,evitación
Excusa,mentira,mentira
Excusa,justificación,justificación
Excusa,invento,invento
Excusa,falsedad,falsedad
Excusa,honestidad,no honestidad
Excusa,falta mea culpa,no mea culpa
Desesperación,fobia,fobia
Desesperación,,no acción
Desesperación,busaca escapar situación,escape
Desesperación,sentimiento negativo,negativo
Sugerencia ,presentar opción,opción
Sugerencia ,incitar,incitación
Sugerencia ,ayuda,ayuda
Sugerencia ,aporte,aporte
Sugerencia ,opción,opción
Sugerencia ,elección,elección
Sugerencia ,posibilidad,posibilidad
Sugerencia ,oportunidad,oportunidad
Peligro,escapa,escape
Peligro,daño,daño
Peligro,miedo,miedo
Peligro,exposición,exposición
Peligro,factores riesgo,riesgo
Peligro,provocar muerte,muerte
Peligro,inseguridad,inseguridad
Honestidad,sinceridad,sinceridad
Honestidad,asocia color blanco,blanco
Honestidad,transparencia,transparencia
Honestidad,busca personas,búsqueda
Honestidad,contrario engaño,no mentir
Honestidad,contraria mentira,no mentir
Felicidad,alegría,alegría
Felicidad,gozo,gozo
Felicidad,busca emoción,emoción
Felicidad,emoción positiva,positivo
Felicidad,ve positivo,positivo
Felicidad,contraria tristeza,no tristeza
Felicidad,máxima satisfacción,satisfacción
Obligación,deber persona,deber
Obligación,imposición carácter legal moral tipo persona,imposición
Obligación,libre elegir tienes obligación,no voluntad
Obligación,cuestionar gusta,hacer
Ansiedad,intranquilidad pendiente resuelto,intranquilidad
Ansiedad,asocia pensamientos repetitivos,repetición
Ansiedad,movimientos repetitivos rápidos mover pie lápiz,cambio corporal
Ansiedad,angustia intolerable cargo,angustia
Ansiedad,tolerancia,no tolerencia
Agradecimiento,gratitud,gratitud
Agradecimiento,reconocimiento alguien sentirme,reconocimiento
Agradecimiento,sensación placer,placer
Agradecimiento,felicidad,felicidad
Agradecimiento,reconocer cosas pasan vida,reconocimiento
Agradecimiento,gracias,gratitud
Compasión,ponerse sentimiento siente,empatía
Compasión,empatía,empatía
Compasión,acompañar sentimiento dolor,acompañamiento
Compasión,dolor ajeno aliviarlo,alivio
Compasión,contener,contención
Compasión,conmueve dolor angustia,empatía
Culpa,sentir responsabilidad malo paso,responsabilidad
Culpa,pena angustia,pena
Culpa,pedir perdón,perdón
Culpa,fallar alguien,falla
Culpa,sensación herido persona,herido
Culpa,carga,carga
Culpa,remordimiento,remordimiento
Culpa,agobio cambiar,agobio
Culpa,arrepentimiento,arrepentimiento
Culpa,reconocer malo,mal
Destreza,habilidad,habilidades
Destreza,facilidad alguien,facilidad
Destreza,,bien
Destreza,talento,talento
Pensamiento,imágenes mentales,mente
Pensamiento,reflexión,reflexión
Pensamiento,mente cerebro,mente
Pensamiento,relacionado racionalidad razón,razonamiento
Pensamiento,evocación alguien mente,mente
Pensamiento,trabajo mental,mente
Pensamiento,simbolizar recordar imaginar futuro,simbolizar
Pensamiento,buscar información mente,información
Pensamiento,útil decidir,decisión
Pensamiento,analizar,análisis
Plan,esquema mapa,esquema
Plan,revisar anticipación situación,anticipación
Plan,pasos seguir frente situación,pasos
Plan,conjunto instrucciones quá,confort
Decisión,opciones,opción
Decisión,preferencia cosa,preferencia
Decisión,pensar tomar decisión,elección
Decisión,determinación,determinación
Decisión,aceptar pérdida escoge,aceptación
Decisión,posición frente,posición
Amenaza,dañar,daño
Amenaza,miedo,miedo
Amenaza,estrés,estrés
Amenaza,pone alerta reaccionar,alerta
Amenaza,quitar bienestar,no bienestar
Amenaza,potencial peligro,peligro
Decisión,elección personal,elección
Decisión,concretar acción,acción
Decisión,afirmación acerca elige,afirmación
Obsesión,fijación alguien,fijación
Obsesión,trastorno compulsivo,trastorno
Peligro,situación vulnerabilidad,vulnerabilidad
Peligro,situación riesgo,riesgo
Peligro,dañino,daño
Peligro,necesario ponerse,a salvo
Felicidad,extasis maximo,éxtasis
Felicidad,sentimiento positivo,positivo
Plan,,acuerdo
Plan,necesita planificación previa,planificación
Destreza,habilidad,habilidades
Destreza,requiere ingenio,ingenio
Definición,descripción,descripción
Definición,permite conceptos,entendimiento
Compasión,sentir sensibilidad alguien,sensibilidad
Compasión,apiadarse alguien,piedad
Compasión,sentimiento positivo,postitivo
Compasión,compadecerse,compasión
Compasión,apiadarse alguien,piedad
Agradecimiento,sentimiento positivo,positivo
Agradecimiento,sentir gratitud alguien,gratitud
Amenaza,actitud anticipa violencia,violencia
Amenaza,actitud usada crear miedo,miedo
Amenaza,gesto fuerte amedrentar,intimidación
Amenaza,aviso cambia actitud acción etc. sucedera,advertencia
Amenaza,gesto crear miedo evitar accion,miedo
Amenaza,fuerza verbal impedir haga,intimidación
Amenaza,narcotraficantas lacayos hablen,delincuencia
Destreza,caracteristica fisica permite moverse agilidad,características
Destreza,relaciona agilidad fuerza,agilidad/fuerza
Destreza,combinacion agilidad fuerza,agilidad/fuerza
Destreza,trepar arboles necesita,agilidad/fuerza
Destreza,simbolo alguien preparado fisicamente,preparación
Destreza,movimientos bruzcos necesito agilidad,agilidad/fuerza
Destreza,habilidad principal escalar muros,habilidades
Pensamiento,platon desarrollaba,filosofía
Pensamiento,puedes dejar tenerlo cabeza,no terminan
Pensamiento,grecia motor principal filosofos,grecia
Pensamiento,ideas surgen,idea
Pensamiento,leerte,no leíble
Pensamiento,surge imaginacion,imaginación
Pensamiento,críticos analiticos,críticos
Pensamiento,habilidad principal hombre,habilidades
Pensamiento,hombre,ser
Pensamiento,yoga intenta alejarte cualquiera,alejamiento
Seguridad,iso9000,norma
Seguridad,resguardo,resguardo
Seguridad,padres brindan,padres
Seguridad,razon guardo dinero colchon,precaución
Seguridad,ladrones alteran,criminales la violan
Seguridad,casas ponen rejas cercado,rejas
Seguridad,personas timidas,timidez
Seguridad,sentimiento desproteccion,desprotección
Seguridad,proteccion,protección
Agradecimiento,regalan notebook estaré,regalo
Agradecimiento,alguien,otro/alguien
Agradecimiento,gracias,gratitud
Agradecimiento,ayudo,ayuda
Agradecimiento,general forma atiende,forma
Agradecimiento,actitud hacie ayuda general,actitud
Agradecimiento,actitud alguien forma amable,amabilidad
Agradecimiento,respuesta amabilidad,amabilidad
Agradecimiento,forma compensar accion,bien
Peligro,siento ladron cerca,delincuencia
Peligro,sentimiento alerta malo pasara,mal
Peligro,alguien maneja,manejar mal
Peligro,manejo alcholo,manejar con alcohol
Peligro,isic humanidad,terrorismo
Peligro,premonicion guerra genera,guerras
Peligro,sale carteles cerca hoyos,advertencia
Esperanza,niño,niños
Esperanza,persona enfermedad terminal,enfermedad terminal
Esperanza,cancer pierdo,lo último que se pierde
Esperanza,ulitmo pierde,lo último que se pierde
Esperanza,sentimiento,más
Esperanza,actitud empuja alla,actitud
Plan,estrategia,estrategia
Plan,estrategia,estrategia
Plan,suceso pasos lograr objetivo,pasos
Plan,camino alcanzar,camino
Plan,elige,elección
Plan,pago alfinal mes entel,telefonía
Ansiedad,sentimiento querer pase,rápidez
Ansiedad,querer alcanzar futuro,querer
Ansiedad,espera larga pone,esperar
Ansiedad,quieres pase rapido,rápidez
Ansiedad,querer,querer
Ansiedad,querer anticipar futuro,querer
Ansiedad,gente come,comer
Acuerdo,,acuerdo
Acuerdo,necesita avanzar politica,necesario
Acuerdo,genera consentimiento posturas,consentimiento
Acuerdo,paises llegan,países
Amenaza,recibes desagradó persona,ofensa
Amenaza,física verbal,físico/verbal
Amenaza,recibimos vivimos alerta,alerta
Destreza,habilidad,habilidades
Destreza,mejorar entrenamiento,entrenamiento
Pensamiento,ideas,idea
Pensamiento,imaginación,imaginación
Pensamiento,permite planificar,planificación
Seguridad,sensación protección,protección
Seguridad,confianza,confianza
Seguridad,autoafirmación,autoafirmación
Seguridad,despreocupación,despreocupación
Seguridad,madres provocan sentimiento,padres
Agradecimiento,expresión gratitud alguien,gratitud
Agradecimiento,decimos,otro/alguien
Agradecimiento,sintamos felices,felicidad
Peligro,amenaza,amenaza
Peligro,vida corre riesgo,riesgo
Esperanza,pierde,lo último que se pierde
Esperanza,impulsa,impulso
Esperanza,fe resultado,fe
Esperanza,motivación,motivación
Esperanza,creer saldrá pronóstico,creencia
Plan,esquema,esquema
Plan,pasos seguir,pasos
Plan,guía,guía
Plan,organización acciones seguir,organización
Ansiedad,sensación inseguridad,inseguridad
Ansiedad,nerviosismo,nerviosismo
Ansiedad,comerse uñas,comer
Ansiedad,sudoración excesiva,sudor
Ansiedad,incomodidad,incomodidad
Ansiedad,impaciencia,impaciencia
Ansiedad,anticipación suceso desagrable,anticipación
Acuerdo,decisión mutua partes,decisión
Acuerdo,complicidad,complicidad
Acuerdo,firmar oficial,firma
Acuerdo,ejemplo prenupcial,contrato
Acuerdo,viola partes roto,deber
Amenaza,situación peligrosa,peligro
Amenaza,peligro relativo,peligro
Amenaza,situación riesgo,riesgo
Amenaza,situación extraña riesgo,riesgo
Amenaza,peligro integridad persona,peligro
Amenaza,alguien enoja,enojo
Destreza,habilidad,habilidades
Destreza,capacidad,capacidad
Destreza,relaciona habilidades,habilidades
Destreza,motora escrita artística,multiple
Destreza,individual,individual
Destreza,permite desarrollar habilidades,habilidades
Pensamiento,personas,persona
Pensamiento,relaciona razón,razonamiento
Pensamiento,interiorizado,interno
Pensamiento,individual,individual
Pensamiento,sirve analizar situaciones,análisis
Pensamiento,sirve resolver problemas,solución
Seguridad,resguardo,resguardo
Seguridad,propósito instituciones policiales,propósito
Seguridad,familia entrega hijos,padres
Agradecimiento,gratitud,gratitud
Agradecimiento,situación positiva genera persona,positivo
Agradecimiento,demostrar regalo,regalo
Agradecimiento,relaciona alegría,alegría
Peligro,situación amenzante,amenaza
Peligro,situación riesgo,riesgo
Peligro,asocia miedo,miedo
Peligro,opuesto seguridad,inseguridad
Peligro,pone riesgo integridad,riesgo
Peligro,negativo,negativo
Peligro,amenza inminente,amenaza
Esperanza,añoranza,añoranza
Esperanza,situación esperada futuro,futuro
Esperanza,deseo suceda,deseo
Esperanza,similar fe,fe
Esperanza,nombre mujer relacionado deseo futuro,futuro
Esperanza,conflictos pierde,lo último que se pierde
Esperanza,matiene fe personas,fe
Esperanza,deseo interiorizado,deseo
Plan,situación estructurada futuro,futuro
Plan,relaciona organización,organización
Plan,estructura,estructura
Plan,armar personas,personal/grupal
Plan,estudios elaborar organizarse,organización
Plan,trabajos utilizan aumentar producción,trabajo
Plan,acción futuro interiorizada,futuro
Ansiedad,situación provoca agitación,agitación
Ansiedad,preocupación excesiva futuro,preocupación
Ansiedad,tipo enfermedad,enfermedad
Ansiedad,preocupación interna desconocido,preocupación
Acuerdo,pacto,pacto
Acuerdo,unión pensamientos acciones,unión
Acuerdo,genera concenso   personas,consenso
Acuerdo,importante   cabo proyecto,importante
Acuerdo,partes,dos o más partes
Acuerdo,pacto afirmativo,pacto
Peligro,puedes sufrir,sufrimiento
Peligro,conviene evitarlo,evitación
Peligro,ignoras puedes salir perjudicado,perjuicio
Peligro,generalmente señalado,advertencia
Peligro,real,real
Peligro,tienes cuidado encuentras situacion,cuidado
Plan,organización,organización
Plan,meta camino definido,meta
Plan,organizar,organización
Plan,pasos,pasos
Obligación,responsabilidad,responsabilidad
Obligación,tienes,hacer
Obsesión,fijacion intensa,fijación
Obsesión,locura adiccion,locura
Razón,logica,lógica
Razón,cerebro,cerebro
Razón,logica,lógica
Decisión,eleccion,elección
Decisión,conjunto cosas seleccionas,selección
Decisión,determinacion objetivo,determinación
Desesperación,tratar describir,experimento
Desesperación,paciencia acaba,impaciencia
Desesperación,aguantas,no aguantar
Excusa,mula,mula
Excusa,explicacion omitido/ relizar,explicación
Excusa,historia explicar,historia
Éxito,triunfo,triunfo
Éxito,llegada meta,meta
Éxito,termino objetivo,término
Éxito,pasar ramos,aprobación
Ganancia ,loteria toque ganador,premio
Ganancia ,premio,premio
Ganancia ,ingresos vender,ingreso
Ganancia ,acto recibir cambio cosa,intercambio
Oportunidad,posibilidad,posibilidad
Oportunidad,decidir relizar accion,decidir
Oportunidad,necesito,conseguir
Oportunidad,gente cree segundas,segunda
Oportunidad,triunfas,necesario
Oportunidad,aprovechas puedes lograr objetivo,aprovechar
Oportunidad,cambies vida,cambio
Seguridad,creen,mal
Seguridad,agresiva,no agresiva
Seguridad,constructiva general,constructivo
Seguridad,peticion,petición
Seguridad,sirve puntos vista distintos,distintos
Seguridad,general,dadas
Desesperación,descontrol,descontrol
Desesperación,,no acción
Desesperación,situacion sobrepasa,sobrepasar
Desesperación,madre siente pierde hijo ejemplo,perdida
Desesperación,emocion fuerte,emoción
Culpa,sentimiento negativo,negativo
Culpa,dolor,dolor
Culpa,consecuencia,consecuencias
Culpa,responsabilidad,responsabilidad
Culpa,negativo,negativo
Culpa,cometes algun acto negativo sentimiento,negativo
Culpa,conciencia error,conciencia
Culpa,equivocacion,equivocación
Amenaza,advertencia agresiva,advertencia
Amenaza,consecuencias,consecuencias
Amenaza,terror,terror
Amenaza,miedo,miedo
Amenaza,intento evitar alguien haga,evitación
Amenaza,persecucuion,persecución
