Concepto,Respuesta,Codigo
cadáver,resto persona vivir,difunto
cadáver,paso tiempo oler,descomposicion
cadáver,paso tiempo volver amarillento,descomposicion
cadáver,soler miedo,miedo
arreglo,implicar reparar roto,reparar
arreglo,implicar remodelar,remodelar
arreglo,implicar ordenar,ordenado
arreglo,gente dedicar arreglar cosa,reparar
arreglo,implicar ajustar,reparar
arreglo,implicar colocar forma correcto,ordenado
emoción,personal,subjetivo
emoción,positivo,positivo
emoción,negativo,negativo
emoción,sentimiento,sentimientos
emoción,sensación intenso,sensaciones
emoción,reacción estímulo,reaccion
emoción,expresión,expresion
emoción,estabilidad,estabilidad
emoción,generar cambio físico,cambio_fisiologico
emoción,distinto tipo,diversidad
detalle,contribuir completar cosa,fragmentado
detalle,diferencia,diferenciador
detalle,gente considerado detallista,personalidad
detalle,minuciosidad,meticuloso
detalle,intención,intencion
detalle,importante,relevancia
detalle,pequeño,pequeno
detalle,desapercibir,desapercibido
detalle,elemento,elemento
detalle,fracción,fragmentado
entidad,,ente
entidad,,existencia
entidad,asociación persona dedicar,empresa
entidad,alma,inmaterial
entidad,valor,relevancia
llanura,plano,plano
llanura,valle,paisaje
llanura,desierto,paisaje
llanura,seco,sequia
llanura,deforestacion,deforestacion
llanura,gritar,agujero
llanura,piedra,materia_prima
llanura,tierra,terrestre
llanura,sequedad,sequia
llanura,inerte,estatico
estatua,rocar,materia_prima
estatua,marmol,materia_prima
estatua,escultura,escultura
estatua,arte,arte
estatua,replicar,imitacion
estatua,representación,representativo
estatua,museo,museo
estatua,miguel angel,artista
estatua,romanticismo,periodo_historico
monarca,reina isabel,personaje_historico
monarca,reinado,monarquia
monarca,príncipe princesa,principes
monarca,europa,europa
monarca,historia,historia
monarca,descendiente,descendencia
monarca,autoritarismo,autoridad
monarca,real,realeza
monarca,regio,extraordinario
monarca,oro,tesoros
cadáver,muerte,muerte
cadáver,abuso,abuso
cadáver,asesino,crimen
cadáver,entierro,inhumacion
cadáver,funebre,difunto
cadáver,halloweir,festividad
cadáver,hueso,huesos
cadáver,degradación,descomposicion
cadáver,terror,miedo
cadáver,calavera,calavera
poblado,organización,asociacion
poblado,jerarquia,jerarquia
poblado,pueblo,comunidad
poblado,sociedad,comunidad
poblado,comunión,reunion
poblado,infraestructura,edificacion
poblado,persona,personas
poblado,familia,familia
poblado,identidad,identidad
poblado,calle,ruta
capilla,iglesia,iglesia
capilla,abuso,abuso
capilla,pedofilia,parafilia
capilla,cura,sacerdote
capilla,papas,sacerdote
capilla,catolicismo,religion
capilla,herejia,herejia
capilla,chuña,personaje_televisivo
capilla,crucificación,ritual
bandera,patria,nacion
bandera,patriotismo,patriotismo
bandera,cultura,cultural
bandera,identificación,identidad
bandera,amor,patriotismo
bandera,terrenal,terreno_delimitado
bandera,fiesta patrio,festividad
bandera,color,colores
bandera,rectangular,figura_geometrica
bandera,asta,asta
planeta,tierra,terrestre
planeta,venus,astros
planeta,marte,astros
planeta,mercurio,astros
planeta,saturno,astros
planeta,jupiter,astros
planeta,oxigeno,elemento_quimico
planeta,pluton,astros
planeta,galaxia,galaxias
planeta,planta,naturaleza
capitán,barco,embarcacion
capitán,equipo,equipo
capitán,deporte,deporte
capitán,fútbol,deporte
capitán,responsabilidad,responsabilidad
capitán,ejemplar,ejemplo_a_seguir
capitán,orden,autoridad
capitán,toma descisión,responsabilidad
capitán,sabidurio,conocimiento
capitán,confianza,confianza
palacio,castillir,castillo
palacio,edificio,arquitectura
palacio,amplio,amplitud
palacio,alcazar,accesible
palacio,piedra,materia_prima
palacio,marmol,materia_prima
palacio,megar construcción,arquitectura
palacio,,poder
palacio,prudencia,prudente
palacio,frio,gelido
detalle,bonito,belleza
detalle,llamar atención,notorio
detalle,pequeño,pequeno
detalle,simple,simplicidad
detalle,flor,conjunto_floral
detalle,rigurosidad,rigurosidad
detalle,preocupación,preocupacion
detalle,característico,caracteristica
detalle,específico,especifico
sanidad,corona virus,virus_infeccioso
sanidad,limpio,higiene
sanidad,cuidado,precaucion
sanidad,salúd,bienestar
sanidad,hospital,hospital
sanidad,esteril,higiene
sanidad,alcohol,elemento_quimico
sanidad,clorir,elemento_quimico
sanidad,salud mental,salud_mental
sanidad,ejercicio,ejercicio
mandato,obligación,deberes
mandato,resposabilidad,responsabilidad
mandato,esfuerzo,esfuerzo
mandato,ley,leyes
mandato,orden,imposicion
mandato,autoridad,autoridad
mandato,jurisdicción,juridico
mandato,orden,imposicion
mandato,imperativo,imposicion
mandato,instrucción,instrucciones
entidad,alguien,ente
entidad,aliens,alienigenas
entidad,ente,ente
entidad,grupo,grupo
entidad,colectivo,comunidad
entidad,sociedad,comunidad
entidad,agrupación,grupo
entidad,junto,grupo
entidad,corporación,empresa
entidad,sindicato,empresa
reserva,hotel,hotel
reserva,représ,represa
reserva,motel,hotel
reserva,anticipación,predecible
reserva,guardar,almacenar
reserva,cupo,admision
reserva,austeridad,austeridad
reserva,arrendar,arriendo
reserva,reservar,planificar
reserva,apichangar él,refran_popular
fortuna,casino,casino
fortuna,dinero,dinero
fortuna,suerte,suerte
fortuna,farkas,personaje_televisivo
fortuna,ludopato,adicciones
fortuna,apostar,apuestas
fortuna,ganancia,beneficios
fortuna,sueldo,remuneracion
fortuna,billete,dinero
fortuna,trabajar,oficio
regreso,regreso jedi,pelicula
regreso,volver,retorno
regreso,,reiterado
regreso,viaje tiempo,viaje
regreso,repetir,reiterado
regreso,retorno,retorno
regreso,retroceder,retroceso
regreso,giro,girar
regreso,error,equivocacion
regreso,vida pasado,pseudociencia
entorno,rodear,ambiente
entorno,contexto,contextual
entorno,ambiente,ambiente
entorno,naturaleza,naturaleza
entorno,paisaje,paisaje
entorno,familia,familia
entorno,amigo,amistad
entorno,comuna,terreno_delimitado
entorno,comunidad,comunidad
entorno,espacio,espacio
alcance,llegarir,destino
alcance,altura,estatura
alcance,distancia,distancia
alcance,meta,objetivos
alcance,determinismo,confianza
alcance,limitación,limitaciones
alcance,realista,realismo
alcance,plan,planificar
alcance,estrategia,estrategia
alcance,anhelo,deseos
malicia,alcohol,bebida_alcoholica
malicia,droga,drogas
malicia,ilegal,ilegal
malicia,adicción,adicciones
malicia,consumo,consumo
malicia,vil,malefico
malicia,maligno,malefico
malicia,dañino,lastimar
malicia,abuso,abuso
malicia,cruela vil,personaje_animado
costura,unión trozo,enhebrar
costura,aguja,aguja
costura,necesitar hilo,material_textil
costura,puntada,tejer
costura,punto debilidad tela,fragil
lágrima,líquido salir ojo,liquido
lágrima,trozo cristal lámpara,cristal
lágrima,secreción,secrecion
lágrima,gota,gota_de_agua
lágrima,humedad,humedo
lágrima,permitir limpieza ojo,higiene
lágrima,salir lagrimal,lagrimal
palanca,palo fuerza,dispositivo_mecanico
palanca,permitir levantar objeto pesado,levantador
palanca,fabricadod madera metal,material_construccion
palanca,doméstico industrial,industria
palanca,doméstico industrial,domestico
palanca,asociado torque,dispositivo_mecanico
vinagre,amargo,sabor
vinagre,derivado vino,bebida_alcoholica
vinagre,usado condimentar ensalada,condimento
vinagre,producto descomposición,descomposicion
vinagre,olor desagradable,desagrado
vinagre,carácter,frustacion
vinagre,dedicar amargar entorrno,desagrado
vinagre,líquido agrio,liquido
vinagre,aceto,condimento
vinagre,escabeche,comida
mejilla,cara,rostro
mejilla,blando cara,partes_del_rostro
mejilla,zona lateral cara,partes_del_rostro
mejilla,cachet,partes_del_rostro
cigüeña,ave flaco,aves
cigüeña,traer hijo,cuento_infantil
cigüeña,color blanco,color_claro
cigüeña,pluma,plumaje
cigüeña,forma estilizado,delgado
cigüeña,estero,simbolos
cigüeña,mito infantil,cuento_infantil
cigüeña,poner huevo,oviparos
cigüeña,ave estacional,aves
cigüeña,ave carnívoro,aves
vampiro,muerto viviente,personaje_ficticio
vampiro,alimentar sangre,hematodixia
vampiro,inmortal,inmortal
vampiro,legendario,mitologia
vampiro,ver negro,vestimenta
vampiro,morir estaco,mitologia
vampiro,soportar sol,mitologia
panteón,cementerio,cementerio
panteón,conjunto dios antiguo,mitologia
panteón,lugar,localidad
panteón,templo,iglesia
panteón,relacionado muerte,muerte
granito,arena,mineral
granito,piedra,materia_prima
granito,material cubierta,material_construccion
granito,escultura,escultura
granito,erupción cutáneo,erupcion_cutanea
granito,pequeño partícula sólido,solido
granito,rocar,materia_prima
padrino,película,pelicula
padrino,encargado velar fe ahijado,cuidadores
padrino,católico,religion
padrino,presente bautismo confirmación,ritual
padrino,protector,proteccion
premisa,afirmación,afirmacion
premisa,creencia,creencia
premisa,supuesto,suposicion
premisa,marco teórico,metodologia
premisa,hipótesis,metodologia
timidez,inseguridad,inseguridad
timidez,miedo,miedo
timidez,temor social,antisocial
timidez,temperamento asocial,introversion
modales,comportamiento,comportamiento
modales,manifestación,manifestacion
modales,característica,caracteristica
modales,forma tratar,comportamiento
modales,educación social,educacion
indicio,pista,pista
indicio,rastro,huellas
indicio,evidenciar,evidenciar
indicio,huella,huellas
indicio,quedar suceder,pista
indicio,vestigio,huellas
indicio,indicación,senales
influjo,,poder
influjo,autoridad,autoridad
influjo,manifestación,manifestacion
influjo,causa,proposito
influjo,intromisión,interrumpir
dulzura,sabor azúcar,sabor
dulzura,actitud amable cariñoso,amabilidad
dulzura,actitud amable cariñoso,afectividad
dulzura,nivel sensación dulzor,sabor
dulzura,contrario amargor,dulce
dulzura,enternecimiento,ternura
dulzura,empalagoso,empalagoso
dulzura,azucarado,azucar
dulzura,dañino pancrea,enfermedad
dulzura,prohibido diabético,dieta
dulzura,stevia dulzura,dulce
réplica,respuesta,respuestas
réplica,movimiento post terremoto,sismo
réplica,acción contestar,accion_fisica
réplica,copia,imitacion
réplica,alegato,demandar
espanto,terror,miedo
espanto,fantasmar,fantasma
espanto,miedo,miedo
espanto,palidez,palidez
espanto,asusto,miedo
espanto,fantasma,fantasma
espanto,emoción,emociones
vanidad,superficialidad,superficial
vanidad,orgullo,orgullo
vanidad,engreimiento,arrogancia
vanidad,presunción,arrogancia
vanidad,sobrevaloración,egocentrico
vanidad,arrogancia,arrogancia
socorro,auxilio,auxilio
socorro,ayuda,ayudar
socorro,apoyo momento urgencia,ayudar
socorro,respaldo,sustento
suspiro,aire,aire
suspiro,viento,aire
suspiro,respiración,respirar
suspiro,alivio,alivio
suspiro,exasperación,furia
suspiro,impaciencia,impaciencia
suspiro,enfado,frustacion
suspiro,decepción,decepcion
suspiro,cansancio,cansancio
suspiro,profundo,profundidad
hoguera,fuego,fuego
hoguera,calor,caliente
hoguera,quema,quemaduras
hoguera,quemar bruja,mitologia
hoguera,cantar,fiesta
hoguera,destrucción,destruccion
hoguera,furio,furia
hoguera,punto encuentro convivencia,reunion
hoguera,connotación positivo negativo,positivo
hoguera,connotación positivo negativo,negativo
hoguera,,tamanos
parcela,,inmensidad
parcela,casa,hogar
parcela,patio,jardineria
parcela,espacio,espacio
parcela,trozo tierra,terreno_delimitado
parcela,extenso,amplitud
parcela,división,limitaciones
parcela,comprar,consumo
parcela,caro,costoso
espiral,eterno,duradero
espiral,mareo,malestar
espiral,línea envolver,linea
espiral,resorte,resorte
espiral,círculo,circunferencia
espiral,fideo forma,comida
espiral,ru él,cabello
espiral,formar cilindro ajustar,figura_geometrica
espiral,túnel,tunel
espiral,montaña ruso,parque_tematico
anciana,arruga,arrugas
anciana,asilo,asilo
anciana,caminar lento,lentitud
anciana,costar escuchar,envejecimiento
anciana,historia contar,experiencia
anciana,experiencia sabiduría,experiencia
anciana,experiencia sabiduría,conocimiento
anciana,necesitar ayuda,requiere_asistencia
anciana,muerte,muerte
anciana,exasperación,furia
anciana,abuelar,abuelos
balanza,,dicotomico
balanza,equilibrio,equilibrado
balanza,peso,medicion
balanza,verduleer,negocio
balanza,antiguo,antiguedad
balanza,útil,utilidad
balanza,precisar,precision
balanza,metal,elemento_quimico
balanza,número,numero
balanza,decisión,elegir
galaxia,infinito,infinito
galaxia,estrella,estrella
galaxia,planeta,astros
galaxia,oscuro,oscuridad
galaxia,oxígeno,asfixiante
galaxia,hermoso misterioso,belleza
galaxia,hermoso misterioso,suspenso
galaxia,desconocido,desconocido
galaxia,,infinito
galaxia,astronomir,disciplina_cientifica
galaxia,telescopio,instrumento_de_medicion
semilla,germinar,germinacion
semilla,crecer,crecimiento
semilla,planta,naturaleza
semilla,concepción,engendrar
semilla,cuidado,precaucion
semilla,riego nutrient,regadio
semilla,riego nutrient,nutritivo
semilla,crecer descuidar,cuidadores
semilla,fortalecer,fuerza
semilla,nacimiento,engendrar
semilla,origen,origen
viajero,mundo,astros
viajero,trotamundo,trotamundo
viajero,avión,medio_de_transporte
viajero,barco,medio_de_transporte
viajero,mar,oceano
viajero,recorrer,recreacion
viajero,cultura,cultural
viajero,nómade,nomade
viajero,aventurero,aventura
viajero,explorador,explorar
cosecha,fruta verdura,frutas
cosecha,fruta verdura,verduras
cosecha,cosechar siembra,cultivo
cosecha,sentido figurado,abstraccion
cosecha,campo,paisaje
cosecha,árbol,arbol
cosecha,resultado,resultado
cosecha,paciencia,paciencia
cosecha,tomar tiempo llegar,paciencia
cosecha,satisfactorio,satisfecho
cosecha,premio,fortuna
madurez,adultez,adultos
validez,real,realismo
validez,respaldo,sustento
validez,veraz,veridico
validez,tangible,empirico
vínculo,conexión,conectar
vínculo,íntimo,intimidad
vínculo,innegable,inevitable
vínculo,inexplicable,inexplicable
vínculo,inesperado,inesperado
vínculo,importante,relevancia
levante,altura,estatura
levante,verticalidad,verticalidad
tributo,ofrendir,obsequio
tributo,merecido,digno
tributo,dio,deidad
tributo,admiración,admiracion
tributo,regalo,obsequio
tributo,obsequio,obsequio
montaje,falso,falsedad
montaje,teatro,teatral
montaje,puesto escena,escenario
montaje,actuación,actores
montaje,mentira,mentir
montaje,engaño,enganar
montaje,elaborado,elaborar
montaje,diseño,diseno
montaje,trabajar,oficio
montaje,producción,produccion
trámite,documento,documento
trámite,complicado,dificil
trámite,demoroso,accion_prolongada
trámite,necesario,necesario
trámite,legal,legal
lástima,pena,angustia
lástima,compasión,compasion
lástima,sentir persona,empatia
lástima,sentimiento,sentimientos
lástima,llanto,angustia
lástima,decepción,decepcion
lástima,remedio,lamentarse
lástima,sentir frente hecho malo,compasion
lástima,usar él sentido irónico,ironia
lástima,opresión pecho,reaccion_corporal
milagro,dio,deidad
milagro,religión,religion
milagro,magia,magia
milagro,dolencia,afliccion
milagro,solución,resuelve_problemas
milagro,petición,peticion
milagro,positivo,positivo
milagro,sarcasmo,ironia
milagro,inesperado,inesperado
milagro,felicidad,felicidad
reflejo,narciso,narcisista
reflejo,agua,liquido
reflejo,espejo,cristal
reflejo,,subjetivo
reflejo,espejismo,ilusion
reflejo,,realismo
reflejo,autoconocimiento,introspeccion
reflejo,transparente,transparente
reflejo,luz,luz
reflejo,brillo,iluminacion
felinos,peludo,velludo
felinos,curioso,curiosidad
felinos,carnivoro,carnivoro
felinos,cazador,cazadores
felinos,variado,diversidad
felinos,ronroneo,ronroneo
letrero,cartel,cartel
letrero,aviso,anuncio
letrero,informacion,informacion
letrero,advertencia,advertencia
albañil,habil,destreza
albañil,fuerte,fuerza
albañil,creativo,creatividad
albañil,trabajador,laborioso
albañil,esforzado,esfuerzo
albañil,artista,artista
madrina,acompañante,acompanar
madrina,apoyadoro,ayudar
madrina,preocupado,preocupacion
péndulo,ver,dicotomico
péndulo,ciclico,ciclo
péndulo,fisico,disciplina_cientifica
péndulo,movimiento,movimiento
péndulo,tiempo,tiempo
biólogo,observador,observar
biólogo,investigador,investigador
biólogo,inteligente,inteligencia
biólogo,libre,libertad
biólogo,meticuloso,obsesividad
biólogo,curioso,curiosidad
aristas,puntual,especifico
aristas,definido,figura
hormona,biologia,disciplina_cientifica
hormona,cuerpo humano,cuerpo_humano
hormona,natural,naturaleza
hormona,desarrollo,crecimiento
neblina,visibilidad,visibilidad_reducida
neblina,oscuro,oscuridad
neblina,tenebrós,horrorifico
neblina,humeda,humedo
resorte,ley hooke,formula_matematica
resorte,fisico,disciplina_cientifica
resorte,movimiento armonico,movimiento
resorte,tecnologia,tecnologia
resorte,suspención,suspencion
resorte,reposicion,reposicion
pericia,abilidad,destreza
pericia,rapidez,inmediatez
pericia,maestrio,maestria
pericia,destreza,destreza
lucidez,sobriedad,sobriedad
lucidez,salud,bienestar
lucidez,despierto,despertar
facetas,temporal,temporal
facetas,personal,subjetivo
facetas,periodo,periodo
facetas,cambio,cambiante
reclamo,alegar,demandar
reclamo,enojo,frustacion
reclamo,buscar arreglar,reparar
reclamo,solucion,resuelve_problemas
evasión,incorrecto,incorrecto
evasión,destruccion,destruccion
evasión,ilegal,ilegal
evasión,malo,incorrecto
inercia,fisico,disciplina_cientifica
inercia,movimiento,movimiento
inercia,energia,energia
inercia,rotacion,rotacion
torpeza,desconcentrado,distraccion
torpeza,normal,normalidad
torpeza,chistoso,gracioso
torpeza,agil,lentitud
torpeza,nulo,nulo
torpeza,trabar,encarcelado
intriga,curiosidad,curiosidad
intriga,misterio,suspenso
intriga,invetigar,investigador
solidez,rigido,estatico
solidez,dureza,dureza
solidez,desformacion,uniforme
solidez,resiliencia,resiliencia
aptitud,personal,subjetivo
aptitud,abilidad unico,exclusivo
aptitud,destreza,destreza
suspiro,ilusion,ilusion
suspiro,decepcion,decepcion
suspiro,cansado,cansancio
suspiro,,limitaciones
suspiro,ahogar él,asfixiante
suspiro,querer escapar,escapar
suspiro,necesidad espacio,espacio
suspiro,respirar,respirar
suspiro,enamoramiento,enamoramiento
suspiro,desear,deseos
hoguera,fuego,fuego
hoguera,campo,paisaje
hoguera,chimeneo,mobiliario
hoguera,aire libre,exterior
hoguera,pino,arbol
hoguera,sentar él amigo,reunion
hoguera,marshmallow,dulce
hoguera,calor,caliente
hoguera,zapato derretido,riesgoso
hoguera,alegrio,felicidad
parcela,idoneo,eficiente
parcela,infancia,infancia
parcela,perro,animal_domestico
parcela,familia,familia
parcela,aire libre,exterior
parcela,verde,color_claro
parcela,naturaleza,naturaleza
parcela,tranquilidad,tranquilidad
parcela,pajaro,aves
parcela,paz,tranquilidad
espiral,tallarín,comida
espiral,laberinto,laberinto
espiral,curva,linea
espiral,confusión,confusion
espiral,eterno,duradero
espiral,ilusión optico,ilusion
espiral,comer,alimentarse
espiral,salsa,condimento
espiral,cocina,cocinar
espiral,amarillo,color_claro
anciana,muerte,muerte
anciana,arruga,arrugas
anciana,soledad,soledad
anciana,aprendizaje,aprender
anciana,lentitud,lentitud
anciana,paciencia,paciencia
anciana,entrega pasar,compromiso
anciana,despreocupacion,despreocupacion
anciana,experiencia,finalizar
anciana,fatalidad,muerte
balanza,cocina,cocinar
balanza,comer,alimentarse
balanza,exactitud,precision
balanza,precisión,precision
balanza,preocupación físico,ciencia
balanza,necesidad conocimiento concreto,precision
balanza,numero,numero
balanza,cocinar,cocinar
balanza,chef,oficio
balanza,peso ideal,estereotipo
galaxia,universo,universo
galaxia,morar,color_oscuro
galaxia,color,colores
galaxia,infinito,infinito
galaxia,desconocido,desconocido
galaxia,falta precisión,impreciso
galaxia,hipotesis,metodologia
galaxia,elemento,elemento_quimico
galaxia,desorden,desorden
galaxia,explosión,explosion
semilla,arbol,arbol
semilla,naturaleza,naturaleza
semilla,nacimiento,engendrar
semilla,cosechar,cultivo
semilla,verde,color_claro
semilla,cafe,color_oscuro
semilla,tierra,terrestre
semilla,plantar,cultivo
semilla,abuelo,abuelos
semilla,paciencia,paciencia
viajero,avion,medio_de_transporte
viajero,conocimiento,conocimiento
viajero,experiencia,experiencia
viajero,aventura,aventura
viajero,lugar,localidad
viajero,maleta,contenedor
viajero,aeropuerto,aeropuerto
viajero,felicidad,felicidad
viajero,vacación,vacaciones
viajero,libertad,libertad
cosecha,comida,comida
cosecha,naturaleza,naturaleza
madurez,adulto,adultos
madurez,sobrevalorado,sobrevalorado
madurez,necesario,necesario
madurez,imposible alcanzar,inalcanzable
madurez,objetivo,objetivos
madurez,utopico,utopia
madurez,irrealisto,ficcion
madurez,aburrido,aburrido
madurez,cerrado mente,ficcion
madurez,estricto,exigencias
validez,comprobado,empirico
validez,ciencia,ciencia
validez,experimento,experimentos
validez,,veridico
validez,certeza,veridico
validez,conocimiento,conocimiento
validez,multitud,sobrepoblado
validez,publico,publico
validez,preciso,precision
validez,,veridico
vínculo,familia,familia
vínculo,asociacion,asociacion
vínculo,union,unificar
vínculo,amor,amor
vínculo,alguien importir,preocupacion
vínculo,cercania,aproximarse
vínculo,cadén,enlace
vínculo,inseparable,inseparable
vínculo,conexión,conectar
vínculo,pareja,noviazgo
levante,cama,mobiliario
levante,subir,trepador
levante,agarrar,accion_fisica
levante,tomar subir él,accion_fisica
levante,despertar,despertar
levante,mañana,ciclo_del_dia
levante,inicio,comenzar
levante,,madrugar
levante,sueño,dormir
levante,flojera,holgazanear
tributo,journey,viaje
tributo,honor,honorable
tributo,fama,fama
tributo,fan,fanaticada
tributo,inspiracion,inspiracion
tributo,ido él,idolos
tributo,recrear,elaborar
tributo,intentar,intencion
tributo,imposible alcanzar,inalcanzable
tributo,musico,musica
montaje,carabinero,policia
montaje,protesta,protesta
montaje,desconocido,desconocido
montaje,misterio,suspenso
montaje,mentira,mentir
montaje,extremismo,radicalizacion
montaje,pelea sucio,pelea
montaje,quedar,desagrado
montaje,fingir,mentir
montaje,rumor,calumnia
trámite,fome,aburrido
trámite,latero,aburrido
trámite,notario,juridico
trámite,adultez,adultos
trámite,,estados
trámite,innecesario,innecesario
trámite,lento,lentitud
trámite,ineficaz,ineficiencia
trámite,,accion_prolongada
trámite,perder tiempo,ineficiencia
lástima,pena,angustia
lástima,verguenza,verguenza
lástima,sentir él incapaz ayudar,incapacidad
lástima,alguien situacion penoso,compasion
lástima,negativo,negativo
lástima,desagradable,desagrado
lástima,situación preferir evitar,evadir
lástima,llorar,angustia
lástima,desesperación,desesperacion
lástima,sentir yo inutil,inutilidad
milagro,iglesia,iglesia
milagro,religión,religion
milagro,agua,liquido
milagro,imposible,imposible
milagro,utopico,utopia
milagro,mito,mitologia
milagro,boca boca,comunicacion
milagro,inexplicable,inexplicable
milagro,sueño,dormir
milagro,misterioso,suspenso
reflejo,doble,doble
reflejo,sentimiento,inexpresivo
reflejo,visión,visibilidad
reflejo,,igualdad
reflejo,espejo,cristal
reflejo,ver él,subjetivo
reflejo,busquedar,descubrimiento
reflejo,alma,inmaterial
reflejo,cuerpo,cuerpo_humano
reflejo,imagen,identidad
costura,tejido,tejer
costura,chaleco,vestimenta
costura,ropa,vestimenta
costura,cojín,cojin
costura,alto costura,alta_costura
costura,moda,tendencia
costura,pretencioso,superficial
costura,costoso,costoso
costura,manual,manualidad
costura,artesanal,artesanal
barriga,panza,cuerpo_humano
barriga,chelar,bebida_alcoholica
barriga,malo alimentacion,malnutricion
barriga,hombre,masculino
barriga,grasa,grasas
barriga,comida rapido,comida_chatarra
barriga,alcohol,bebida_alcoholica
lágrima,llorar,angustia
lágrima,tristeza,angustia
lágrima,sal,salado
lágrima,pena,angustia
lágrima,gota,gota_de_agua
lágrima,agua,liquido
lágrima,dolor,sufrimiento
lágrima,felicidad,felicidad
lágrima,risa,felicidad
lágrima,cosquil él,cosquillas
palanca,fisico,disciplina_cientifica
palanca,torque,dispositivo_mecanico
palanca,angulo,figura_geometrica
palanca,barra,barra
palanca,ganzuo,herramientas
palanca,vehiculo,medio_de_transporte
palanca,gato,dispositivo_mecanico
palanca,seguro,seguridad
vinagre,ensaldar,verduras
vinagre,cocinar,cocinar
vinagre,fermentacion,fermentacion
vinagre,venir,bebida_alcoholica
vinagre,manzana,frutas
vinagre,uva,frutas
vinagre,pestilente,pesticidas
vinagre,acidez,sabor
vinagre,azucar,azucar
vinagre,liquido,liquido
mejilla,cachete,partes_del_rostro
mejilla,cara,rostro
mejilla,diente,dentadura
mejilla,abuela,abuelos
mejilla,ardil él,animal_salvaje
mejilla,piel,organo_cuerpo_humano
mejilla,apretabl,accion_fisica
mejilla,tierno,ternura
caverna,platon,filosofo
caverna,luz,luz
caverna,noticia,noticioso
caverna,realidad,realismo
caverna,oscuridad,oscuridad
caverna,murcielago,animal_salvaje
caverna,secreto,secretos
caverna,tesoro,tesoros
caverna,humedad,humedo
barbero,antiguo,antiguedad
barbero,dentista,oficio
barbero,navaja,herramientas
barbero,espuma ,liquido
barbero,peluquerir,oficio
barbero,silla,mobiliario
barbero,moda,tendencia
cigüeña,niño,infancia
cigüeña,mentira,mentir
