Palabra (concepto),Descripción,Codificación
Desesperación,sufrimiento encontrar salido situación problemático,sufrimiento
Desesperación,suceder ver camino posible seguir,no camino
Desesperación,sentir forma mejorar él,no mejoría
Esperanza,sentimiento asegurar mejorar algun momento,mejorar
Esperanza,cosa venir,bien
Esperanza,perder,lo último que se pierde
Esperanza,fuerza motoro cosa,fuerza
Razón ,habilidad cognitivo unicamente poseido humano,habilidades
Razón ,característica determinante existencia humano,características
Razón ,relacionado pensamiento,pensamiento
Razón ,persona correcto,correcto
Oportunidad,opcion viable actuar,opción
Decisión,escoger opción,elección
Decisión,exigir compromiso escogido,compromiso
Decisión,suceder analisis opción,análisis
Decisión,opción,opinión
Decisión,compromiso,compromiso
Peligro,situacion cuidado,cuidado
Peligro,precaución,precaución
Peligro,situacion evitar,evitación
Ansiedad,problema sicológico,problemas
Ansiedad,producir ataque,cambio corporal
Compasión,acto aliviar sufriemto,alivio
Obsesión,obstinamiento alguien,obstinación
Verdad,correcto,correcto
Verdad,pensar corroborar empiricamente,pensamiento
Verdad,realidad pensamiento alineado,real
Verdad,real,real
Pensamiento,mente,mente
Pensamiento,idea persona,idea
Pensamiento,tangible,abstracción
Culpa,remordimiento,remordimiento
Culpa,sentimiento malo,mal
Culpa,habilidad persona dar él erroneo,habilidades
Desesperación,perdido esperanza,desesperanza
Desesperación,paciencia,impaciencia
Desesperación,tranquilidad animo,intranquilidad
Honestidad,honradez,honradez
Honestidad,actuar pensar sentir,acuerdo
Excusa,argumento justificar actuar,argumentación
Excusa,justificación,justificación
Acuerdo,contrato,contrato
Acuerdo,pacto,pacto
Acuerdo,tratar,tratado
Acuerdo,convenio,convenio
Seguridad,sentimiento tranquilidad,tranquilidad
Seguridad,ausencia riesgo,no riesgo
Esperanza,pensamiento positivo suceder,positivo
Esperanza,querer suceder esperado,querer
Esperanza,fe situacion,fe
Esperanza,positivo,positivo
Decisión,opción tomar,opción
Definición,sentido cosa,sentido
Definición,buscar diccionario comprender palabra,diccionario
Definición,entender palabara buscar,palabra
Plan,idea guia situacion llevar cabo,idea
Plan,oficial militar ocupar rescate,militar
Agradecimiento,accion gracia,gratitud
Éxito,actividad buscar,búsqueda
Éxito,laboral sentimental,laboral
Éxito,lograr objetivo,objetivos
Éxito,cantante seguidor,seguidores
Éxito,persona mentalizar lograr,mentalización
Éxito,recorrer camino llegar,camino
Amenaza,malo,mal
Amenaza,alguien ataca,ataque
Amenaza,decir él persona atacar,advertencia
Amenaza,palabra atacar,ataque
Razón ,ocupar cabeza,cabeza
Razón ,objetivo,objetividad
Razón ,persona discutir,cierto
Razón ,cuestionar,cuastionamiento
Razón ,debatir,debate
Obsesión,descontrolado,descontrol
Obsesión,objetivo buscar,objetivos
Peligro,susto,susto
Peligro,sentir él,mal
Peligro,atacado,ataque
Peligro,sentir amenaza,amenaza
Compasión,sentir persona,persona
Compasión,sentimiento alguien,mal
Compasión,evitar dolor ajeno,evitación
Compasión,persona,dos o más partes
Compasión,sentir tristeza persona cosa,tristeza
Acuerdo,pacto persona,pacto
Acuerdo,verbal escrito,verbal/escrito
Acuerdo,común,común
Desesperación,control,incontrolable
Desesperación,persona sentir,personal
Desesperación,controlar acto,incontrolable
Desesperación,esperanza,desesperanza
Desesperación,paciencia,impaciencia
Agradecimiento,contento persona,felicidad
Agradecimiento,sentir persona,bien
Agradecimiento,sentimiento acto,sentimiento
Plan,forma ordenar vida,orden
Plan,organizar actividad semana mes año,organización
Plan,compañia telefono ofrecer,telefonía
Plan,organización,organización
Plan,forma ordenar,orden
Plan,actividad,actividades
Plan,comprar,comprar
Plan,estrategia,estrategia
Plan,poner él,acuerdo
Plan,organización,organización
Plan,elaborar procedimiento,procedimiento
Plan,establecer paso,pasos
Plan,receta,receta
Plan,ejecutar,anticipación
Plan,mapa previo,mapa
Plan,analizar,análisis
Seguridad,confianza,confianza
Seguridad,policia brindar,policias
Seguridad,guardia dedicar,guardias
Seguridad,garantizar,estado
Seguridad,riesgo,no riesgo
Seguridad,percepción peligro,peligro
Seguridad,paz,paz
Razón ,coherencia,coherencia
Razón ,lema patrio chile,lema patrio
Razón ,ganar discusión,ganar
Razón ,gente locar pierde,no locura
Peligro,riesgo,riesgo
Peligro,expuesto situación dañino,daño
Peligro,salir,mal
Peligro,tirar él parapante,deporte extremo
Oportunidad,alternativa elegir,alternativa
Oportunidad,chance,chance
Oportunidad,camino optar,camino
Oportunidad,via alternativa,alternativa
Oportunidad,comprar oferta flash,oferta
Oportunidad,merecer,segunda
Oportunidad,opción,opción
Compasión,empatir,empatía
Compasión,colocar él lugar,empatía
Compasión,contrario venganza,no venganza
Compasión,perdonar,perdón
Compasión,benevolo,bondad
Compasión,levantar enemigo suelo,enemigo
Desesperación,impotencia,impotencia
Desesperación,sobreexagerar situación,sobre exageración
Desesperación,alternativa importante,no acción
Desesperación,cambiar,no acción
Desesperación,perder calma,intranquilidad
Desesperación,contrario relajado,intranquilidad
Agradecimiento,responder ayuda,ayuda
Agradecimiento,gratitud,gratitud
Agradecimiento,reconocer ayuda,reconocimiento
Agradecimiento,mencionar aporte positivo alguien,positivo
Agradecimiento,educar,educación
Obligación,deber cumplir,deber
Obligación,responsabilidad,responsabilidad
Obligación,compromiso,compromiso
Obligación,imponer él alguien hacer,imposición
Obsesión,cegar él,ceguera
Obsesión,actuar irracionalmente,irracional
Obsesión,querer cosa,querer
Obsesión,desear costa,deseo
Acuerdo,beneficio participante,beneficios
Ganancia ,implicar beneficio individuo,beneficios
Verdad,carácter subjetivo,subjetivo
Verdad,recomfortante perturbadoro,bien/mal
Verdad,buscado cantidad gente,búsqueda
Excusa,visto sociedad,mal
Excusa,usado justificar mala acción,justificación
Excusa,empleado gente irresponsable,irresponsabilidad
Esperanza,sentimiento positivo,positivo
Esperanza,experimentado momento dificultad,dificultad
Esperanza,tema presente religion,religión
Ansiedad,experimentado situación estresant ajeno individuo,estrés
Ansiedad,falta adaptacion individuo,desadaptación
Ansiedad,experimentado algun momento,todos
Honestidad,caracteristica visto positiva,positivo
Honestidad,otorgar congruencia actuar individuo,congruencia
Honestidad,ayuda mantener relación saludable persona,ayuda
Honestidad,persona ejercer confiable,confianza
Obsesión,forma actuar cosa,acción
Obsesión,connotación negativo,negativo
Obsesión,ejercer persona objeto,persona/objeto
Obsesión,problema necesitar corregir,problemas
Obsesión,incapacidad concentrar él cosa,atención
Pensamiento,capacidad humano,humano
Pensamiento,ejercer momento consciente,conciencia
Pensamiento,proceso consumir energia,gasto energético
Pensamiento,culmín formacion idea,idea
Sugerencia ,idea transferido persona,idea
Sugerencia ,percepcion idea persona poseer,idea
Sugerencia ,intencion positiva ayudar,ayuda
Sugerencia ,responder agresivo receptor,agresión
Felicidad,sensación positivo,postivo
Felicidad,anímico,ánimo
Felicidad,desear humano,deseo
Felicidad,caracteristico humano,humano
Felicidad,alegría,alegría
Felicidad,,bienestar
Felicidad,equilibrio,equilibrio
Desesperación,incapacidad reaccionar frente problema,incapacidad
Desesperación,incapacidad actuar correctamente,incapacidad
Desesperación,cólero,cólera
Desesperación,alteración ánimo,alteración
Desesperación,pérdida esperanza,desesperanza
Éxito,logro,logro
Éxito,triunfo,triunfo
Éxito,cumplimiento meta personal,cumplimiento
Éxito,aspiración,aspiraciones
Peligro,dañino,daño
Peligro,seguro,inseguridad
Culpa,sensación remordimiento humano,remordimiento
Culpa,sentimiento falta cometer acto intencionalmente,intención
Culpa,responsabilizar él acción,responsabilidad
Habilidad,capacidad(es destacar persona resto,capacidad
Habilidad,caracteristica(s destaca(n persona resto,características
Habilidad,alguien realizar acción,manera
Habilidad,diferenciación,diferenciación
Definición,descripción alguien,descripción
Definición,caracteristica alguien,caracterización
Definición,significado alguien,significado
Oportunidad,ocasión conveniente,conveniencia
Seguridad,proteger,protección
Seguridad,acoger,acogedor
Seguridad,sensación tranquilidad,tranquilidad
Seguridad,peligroso,no peligro
Seguridad,dañino,no daño
Honestidad,,verdad
Honestidad,fiel,fiel
Honestidad,correcto,correcto
Honestidad,caracteristica humano,características
Honestidad,cabida mentira,no mentir
Compasión,sentir persona,otro/alguien
Compasión,solidaridad,solidaridad
Compasión,entiend lugar,entendimiento
Compasión,sient persona pasar negativo,negativo
Compasión,sentimiento positivo,positivo
Compasión,permitir persona ayudar,ayuda
Compasión,caridad,caridad
Amenaza,rabiar,rabia
Amenaza,intimidación,intimidación
Amenaza,desear negativo persona,mal
Amenaza,ira,irá
Amenaza,enojo,enojo
Amenaza,intención impedir,disuasión
Amenaza,sentir invulnerabilidad,invulnerable
Seguridad,estabilidad,estabilidad
Seguridad,confort,confort
Seguridad,protección,protección
Seguridad,sentir,bien
Seguridad,guardia,guardias
Seguridad,escudo,escudo
Seguridad,alarma,alarma
Seguridad,criminal violar,criminales la violan
Seguridad,confianza,confianza
Éxito,triunfo,triunfo
Éxito,cosa salir,bien
Éxito,sentimiento positivo,positivo
Éxito,lograr,logro
Éxito,satisfacción,satisfacción
Éxito,gocir,gozo
Excusa,idea evitar,evitación
Excusa,mentira,mentira
Excusa,justificación,justificación
Excusa,invento,invento
Excusa,falsedad,falsedad
Excusa,honestidad,no honestidad
Excusa,falta mea culpa,no mea culpa
Desesperación,fobiar,fobia
Desesperación,,no acción
Desesperación,busacar escapar situación,escape
Desesperación,sentimiento negativo,negativo
Sugerencia ,presentar opción,opción
Sugerencia ,incitar,incitación
Sugerencia ,ayuda,ayuda
Sugerencia ,aporte,aporte
Sugerencia ,opción,opción
Sugerencia ,elección,elección
Sugerencia ,posibilidad,posibilidad
Sugerencia ,oportunidad,oportunidad
Peligro,escapar,escape
Peligro,daño,daño
Peligro,miedo,miedo
Peligro,exposición,exposición
Peligro,factor riesgo,riesgo
Peligro,provocar muerte,muerte
Peligro,inseguridad,inseguridad
Honestidad,sinceridad,sinceridad
Honestidad,asociar color blanco,blanco
Honestidad,transparencia,transparencia
Honestidad,buscar persona,búsqueda
Honestidad,contrario engaño,no mentir
Honestidad,contrario mentira,no mentir
Felicidad,alegría,alegría
Felicidad,gozo,gozo
Felicidad,buscar emoción,emoción
Felicidad,emoción positivo,positivo
Felicidad,ver positivo,positivo
Felicidad,contrario tristeza,no tristeza
Felicidad,máximo satisfacción,satisfacción
Obligación,deber persona,deber
Obligación,imposición carácter legal moral tipo persona,imposición
Obligación,libre elegir tener obligación,no voluntad
Obligación,cuestionar gustar,hacer
Ansiedad,intranquilidad pendiente resolver,intranquilidad
Ansiedad,asociar pensamiento repetitivo,repetición
Ansiedad,movimiento repetitivo rápido mover pie lápiz,cambio corporal
Ansiedad,angustia intolerable cargo,angustia
Ansiedad,tolerancia,no tolerencia
Agradecimiento,gratitud,gratitud
Agradecimiento,reconocimiento alguien sentir yo,reconocimiento
Agradecimiento,sensación placer,placer
Agradecimiento,felicidad,felicidad
Agradecimiento,reconocer cosa pasar vida,reconocimiento
Agradecimiento,gracia,gratitud
Compasión,poner él sentimiento sentir,empatía
Compasión,empatir,empatía
Compasión,acompañar sentimiento dolor,acompañamiento
Compasión,dolor ajeno aliviar él,alivio
Compasión,contener,contención
Compasión,conmuevar dolor angustia,empatía
Culpa,sentir responsabilidad malo pasar,responsabilidad
Culpa,pena angustiar,pena
Culpa,pedir perdón,perdón
Culpa,fallar alguien,falla
Culpa,sensación herir persona,herido
Culpa,carga,carga
Culpa,remordimiento,remordimiento
Culpa,agobio cambiar,agobio
Culpa,arrepentimiento,arrepentimiento
Culpa,reconocer malo,mal
Destreza,habilidad,habilidades
Destreza,facilidad alguien,facilidad
Destreza,,bien
Destreza,talento,talento
Pensamiento,imagen mental,mente
Pensamiento,reflexión,reflexión
Pensamiento,mente cerebro,mente
Pensamiento,relacionado racionalidad razón,razonamiento
Pensamiento,evocación alguien mente,mente
Pensamiento,trabajo mental,mente
Pensamiento,simbolizar recordar imaginar futuro,simbolizar
Pensamiento,buscar información mente,información
Pensamiento,útil decidir,decisión
Pensamiento,analizar,análisis
Plan,esquema mapa,esquema
Plan,revisar anticipación situación,anticipación
Plan,paso seguir frente situación,pasos
Plan,conjunto instrucción quá,confort
Decisión,opción,opción
Decisión,preferencia cosa,preferencia
Decisión,pensar tomar decisión,elección
Decisión,determinación,determinación
Decisión,aceptar pérdida escoger,aceptación
Decisión,posición frente,posición
Amenaza,dañar,daño
Amenaza,miedo,miedo
Amenaza,estrés,estrés
Amenaza,poner alerta reaccionar,alerta
Amenaza,quitar bienestar,no bienestar
Amenaza,potencial peligro,peligro
Decisión,elección personal,elección
Decisión,concretar acción,acción
Decisión,afirmación acerca elegir,afirmación
Obsesión,fijación alguien,fijación
Obsesión,trastorno compulsivo,trastorno
Peligro,situación vulnerabilidad,vulnerabilidad
Peligro,situación riesgo,riesgo
Peligro,dañino,daño
Peligro,necesario poner él,a salvo
Felicidad,extasis maximo,éxtasis
Felicidad,sentimiento positivo,positivo
Plan,,acuerdo
Plan,necesitar planificación previo,planificación
Destreza,habilidad,habilidades
Destreza,requerir ingenio,ingenio
Definición,descripción,descripción
Definición,permitir concepto,entendimiento
Compasión,sentir sensibilidad alguien,sensibilidad
Compasión,apiadar él alguien,piedad
Compasión,sentimiento positivo,postitivo
Compasión,compadecer él,compasión
Compasión,apiadar él alguien,piedad
Agradecimiento,sentimiento positivo,positivo
Agradecimiento,sentir gratitud alguien,gratitud
Amenaza,actitud anticipar violencia,violencia
Amenaza,actitud usado crear miedo,miedo
Amenaza,gesto fuerte amedrentar,intimidación
Amenaza,aviso cambiar actitud acción etc. sucedera,advertencia
Amenaza,gesto crear miedo evitar accion,miedo
Amenaza,fuerza verbal impedir hacer,intimidación
Amenaza,narcotraficanta lacayo hablar,delincuencia
Destreza,caracteristica fisico permitir mover él agilidad,características
Destreza,relacionar agilidad fuerza,agilidad/fuerza
Destreza,combinacion agilidad fuerza,agilidad/fuerza
Destreza,trepar arbol necesitar,agilidad/fuerza
Destreza,simbolo alguien preparado fisicamente,preparación
Destreza,movimiento bruzco necesitar agilidad,agilidad/fuerza
Destreza,habilidad principal escalar muro,habilidades
Pensamiento,platon desarrollar,filosofía
Pensamiento,poder dejar tener él cabeza,no terminan
Pensamiento,grecia motor principal filosofo,grecia
Pensamiento,idea surgen,idea
Pensamiento,leerte,no leíble
Pensamiento,surgir imaginacion,imaginación
Pensamiento,crítico analitico,críticos
Pensamiento,habilidad principal hombre,habilidades
Pensamiento,hombre,ser
Pensamiento,yoga intentar alejarte cualquiera,alejamiento
Seguridad,iso9000,norma
Seguridad,resguardo,resguardo
Seguridad,padre brindar,padres
Seguridad,razon guardar dinero colchon,precaución
Seguridad,ladrón alterar,criminales la violan
Seguridad,casa poner reja cercado,rejas
Seguridad,persona temer,timidez
Seguridad,sentimiento desproteccion,desprotección
Seguridad,proteccion,protección
Agradecimiento,regalar notebook estar,regalo
Agradecimiento,alguien,otro/alguien
Agradecimiento,gracias,gratitud
Agradecimiento,ayudo,ayuda
Agradecimiento,general forma atender,forma
Agradecimiento,actitud hacie ayudar general,actitud
Agradecimiento,actitud alguien forma amable,amabilidad
Agradecimiento,respuesta amabilidad,amabilidad
Agradecimiento,forma compensar accion,bien
Peligro,sentir ladron cerca,delincuencia
Peligro,sentimiento alertar malo pasar,mal
Peligro,alguien manejar,manejar mal
Peligro,manejo alcholo,manejar con alcohol
Peligro,isic humanidad,terrorismo
Peligro,premonicion guerra generar,guerras
Peligro,salir cartel cerca hoyo,advertencia
Esperanza,niño,niños
Esperanza,persona enfermedad terminal,enfermedad terminal
Esperanza,cancer pierdo,lo último que se pierde
Esperanza,ulitmo perder,lo último que se pierde
Esperanza,sentimiento,más
Esperanza,actitud empujar allo,actitud
Plan,estrategia,estrategia
Plan,estrategia,estrategia
Plan,suceso paso lograr objetivo,pasos
Plan,camino alcanzar,camino
Plan,elegir,elección
Plan,pagar alfinal mes entel,telefonía
Ansiedad,sentimiento querer pasar,rápidez
Ansiedad,querer alcanzar futuro,querer
Ansiedad,esperar largo poner,esperar
Ansiedad,querer pasar rapido,rápidez
Ansiedad,querer,querer
Ansiedad,querer anticipar futuro,querer
Ansiedad,gente comar,comer
Acuerdo,,acuerdo
Acuerdo,necesitar avanzar politica,necesario
Acuerdo,generar consentimiento postura,consentimiento
Acuerdo,país llegar,países
Amenaza,recib desagradar persona,ofensa
Amenaza,físico verbal,físico/verbal
Amenaza,recibir vivir alerto,alerta
Destreza,habilidad,habilidades
Destreza,mejorar entrenamiento,entrenamiento
Pensamiento,idea,idea
Pensamiento,imaginación,imaginación
Pensamiento,permitir planificar,planificación
Seguridad,sensación protección,protección
Seguridad,confianza,confianza
Seguridad,autoafirmación,autoafirmación
Seguridad,despreocupación,despreocupación
Seguridad,madre provocar sentimiento,padres
Agradecimiento,expresión gratitud alguien,gratitud
Agradecimiento,decir,otro/alguien
Agradecimiento,sentar feliz,felicidad
Peligro,amenazar,amenaza
Peligro,vida correr riesgo,riesgo
Esperanza,perder,lo último que se pierde
Esperanza,impulsar,impulso
Esperanza,fe resultado,fe
Esperanza,motivación,motivación
Esperanza,creer salir pronóstico,creencia
Plan,esquema,esquema
Plan,paso seguir,pasos
Plan,guíar,guía
Plan,organización acción seguir,organización
Ansiedad,sensación inseguridad,inseguridad
Ansiedad,nerviosismo,nerviosismo
Ansiedad,comer él uña,comer
Ansiedad,sudoración excesivo,sudor
Ansiedad,incomodidad,incomodidad
Ansiedad,impaciencia,impaciencia
Ansiedad,anticipación suceso desagrable,anticipación
Acuerdo,decisión mutuo parte,decisión
Acuerdo,complicidad,complicidad
Acuerdo,firmar oficial,firma
Acuerdo,ejemplo prenupcial,contrato
Acuerdo,violar parte roto,deber
Amenaza,situación peligroso,peligro
Amenaza,peligro relativo,peligro
Amenaza,situación riesgo,riesgo
Amenaza,situación extraño riesgo,riesgo
Amenaza,peligro integridad persona,peligro
Amenaza,alguien enoja,enojo
Destreza,habilidad,habilidades
Destreza,capacidad,capacidad
Destreza,relacionar habilidad,habilidades
Destreza,motoro escrito artístico,multiple
Destreza,individual,individual
Destreza,permitir desarrollar habilidad,habilidades
Pensamiento,persona,persona
Pensamiento,relacionar razón,razonamiento
Pensamiento,interiorizar,interno
Pensamiento,individual,individual
Pensamiento,servir analizar situación,análisis
Pensamiento,servir resolver problema,solución
Seguridad,resguardo,resguardo
Seguridad,propósito institución policial,propósito
Seguridad,familia entregar hijo,padres
Agradecimiento,gratitud,gratitud
Agradecimiento,situación positivo generar persona,positivo
Agradecimiento,demostrar regalo,regalo
Agradecimiento,relacionar alegría,alegría
Peligro,situación amenzante,amenaza
Peligro,situación riesgo,riesgo
Peligro,asociar miedo,miedo
Peligro,opuesto seguridad,inseguridad
Peligro,poner riesgo integridad,riesgo
Peligro,negativo,negativo
Peligro,amenza inminente,amenaza
Esperanza,añoranza,añoranza
Esperanza,situación esperado futuro,futuro
Esperanza,desear suceda,deseo
Esperanza,similar fe,fe
Esperanza,nombre mujer relacionado deseo futuro,futuro
Esperanza,conflicto perder,lo último que se pierde
Esperanza,matienir fe persona,fe
Esperanza,desear interiorizado,deseo
Plan,situación estructurado futuro,futuro
Plan,relacionar organización,organización
Plan,estructura,estructura
Plan,armar persona,personal/grupal
Plan,estudio elaborar organizar él,organización
Plan,trabajo utilizar aumentar producción,trabajo
Plan,acción futuro interiorizado,futuro
Ansiedad,situación provocar agitación,agitación
Ansiedad,preocupación excesivo futuro,preocupación
Ansiedad,tipo enfermedad,enfermedad
Ansiedad,preocupación interno desconocido,preocupación
Acuerdo,pacto,pacto
Acuerdo,unión pensamiento acción,unión
Acuerdo,generar concenso   persona,consenso
Acuerdo,importante   cabo proyecto,importante
Acuerdo,parte,dos o más partes
Acuerdo,pacto afirmativo,pacto
Peligro,poder sufrir,sufrimiento
Peligro,convenir evitar él,evitación
Peligro,ignora poder salir perjudicado,perjuicio
Peligro,generalmente señalado,advertencia
Peligro,real,real
Peligro,tener cuidado encontrar situacion,cuidado
Plan,organización,organización
Plan,meta camino definido,meta
Plan,organizar,organización
Plan,paso,pasos
Obligación,responsabilidad,responsabilidad
Obligación,tener,hacer
Obsesión,fijacion intenso,fijación
Obsesión,locura adiccion,locura
Razón,logico,lógica
Razón,cerebro,cerebro
Razón,logico,lógica
Decisión,eleccion,elección
Decisión,conjunto cosa selecciona,selección
Decisión,determinacion objetivo,determinación
Desesperación,tratar describir,experimento
Desesperación,paciencia acabar,impaciencia
Desesperación,aguanta,no aguantar
Excusa,mulo,mula
Excusa,explicacion omitido/ relizar,explicación
Excusa,historia explicar,historia
Éxito,triunfo,triunfo
Éxito,llegado meta,meta
Éxito,termino objetivo,término
Éxito,pasar ramo,aprobación
Ganancia ,loteria tocar ganador,premio
Ganancia ,premio,premio
Ganancia ,ingreso vender,ingreso
Ganancia ,acto recibir cambio cosa,intercambio
Oportunidad,posibilidad,posibilidad
Oportunidad,decidir relizar accion,decidir
Oportunidad,necesitar,conseguir
Oportunidad,gente creer segundo,segunda
Oportunidad,triunfas,necesario
Oportunidad,aprovecha poder lograr objetivo,aprovechar
Oportunidad,cambiser vida,cambio
Seguridad,creer,mal
Seguridad,agresivo,no agresiva
Seguridad,constructivo general,constructivo
Seguridad,peticion,petición
Seguridad,servir punto vista distinto,distintos
Seguridad,general,dadas
Desesperación,descontrol,descontrol
Desesperación,,no acción
Desesperación,situacion sobrepasar,sobrepasar
Desesperación,madre sentir perder hijo ejemplo,perdida
Desesperación,emocion fuerte,emoción
Culpa,sentimiento negativo,negativo
Culpa,dolor,dolor
Culpa,consecuencia,consecuencias
Culpa,responsabilidad,responsabilidad
Culpa,negativo,negativo
Culpa,comet algun acto negativo sentimiento,negativo
Culpa,conciencia error,conciencia
Culpa,equivocacion,equivocación
Amenaza,advertencia agresivo,advertencia
Amenaza,consecuencia,consecuencias
Amenaza,terror,terror
Amenaza,miedo,miedo
Amenaza,intento evitar alguien hacer,evitación
Amenaza,persecucuion,persecución
Amenaza,juego mental,juego mental
