ID;Concepto;respuesta;Code
664252d4a599b06b914bfcd8;air;needed for life;vital
664252d4a599b06b914bfcd8;air;is held to the earth by the ozone layer and gravity;ozone
665fc8123159edac3b65bd62;air;Oxygen;oxygen
665fc8123159edac3b65bd62;air;Nitrogen;nitrogen
665fc8123159edac3b65bd62;air;Carbon Dioxide;carbon dioxide
665fc8123159edac3b65bd62;air;Wind;wind
665fc8123159edac3b65bd62;air;Flight;flight
665fc8123159edac3b65bd62;air;Ozone;ozone
6672e829cad8cb996c7fb2f5;air;breathe;breathing
6672e829cad8cb996c7fb2f5;air;trees;plant
6672e829cad8cb996c7fb2f5;air;Oxygen;oxygen
6672e829cad8cb996c7fb2f5;air;necessary for life;vital
6672e829cad8cb996c7fb2f5;air;necessary for photosynthesis;vital
6672e829cad8cb996c7fb2f5;air;wind;wind
667c3d7b1869236fd5e924d1;air;wind patterns;wind
667c3d7b1869236fd5e924d1;air;photosynthesis;photosynthesis
667c3d7b1869236fd5e924d1;air;air quality;air quality
667c3d7b1869236fd5e924d1;air;climate regulation;climate
667c3d7b1869236fd5e924d1;air;airborne seeds and pollination;pollination
667c3d7b1869236fd5e924d1;air;provides life;vital
6682815cb709d276088344b9;air;Is live;vital
6682815cb709d276088344b9;air;Allow thins to move freely;movement
6682815cb709d276088344b9;air;Is oxgen;oxygen
6682815cb709d276088344b9;air;Is carbohydret;carbon
6682815cb709d276088344b9;air;provides plants to produce food;photosynthesis
6682815cb709d276088344b9;air;Excertion to take place;breathing
6683c3090fada48d73372b3f;air;Influences Weather and Climate;weather
6683c3090fada48d73372b3f;air;Air Pressure;pressure
6683c3090fada48d73372b3f;air;Pollution;pollution
6683c3090fada48d73372b3f;air;Water Vapor;water vapor
6683c3090fada48d73372b3f;air;Thermal Insulation;thermal insulation
6683c3090fada48d73372b3f;air;Photosynthesis;photosynthesis
66844cc133a4d360bca29862;air;Breatheable;clean
66844cc133a4d360bca29862;air;Movement;movement
66844cc133a4d360bca29862;air;Temperature;temperature
66844cc133a4d360bca29862;air;Pressure;pressure
66844cc133a4d360bca29862;air;Transparency;transparency
66844cc133a4d360bca29862;air;Pressure;pressure
6690658efa35318b0683ce00;air;polluted;pollution
6690658efa35318b0683ce00;air;necessary to breathe;vital
6690658efa35318b0683ce00;air;required for photosynthesis;photosynthesis
6690658efa35318b0683ce00;air;provides oxygen;oxygen
6690658efa35318b0683ce00;air;belongs to everyone;accessibility
6690658efa35318b0683ce00;air;should be free of toxins;toxins
66c1ff89945b7ffe7bc8bdfd;air;clean;clean
66c1ff89945b7ffe7bc8bdfd;air;pure;clean
66c1ff89945b7ffe7bc8bdfd;air;fresh;clean
66c1ff89945b7ffe7bc8bdfd;air;light;weightless
66c1ff89945b7ffe7bc8bdfd;air;stagnant;flow
66c1ff89945b7ffe7bc8bdfd;air;flowing;flow
66c4b8e02c143fb187f32b91;air;Clean;clean
66c4b8e02c143fb187f32b91;air;full of insects;insects
66c4b8e02c143fb187f32b91;air;can be windy or still;wind
66c4b8e02c143fb187f32b91;air;thin at certain altitudes;thickness
66c4b8e02c143fb187f32b91;air;thick in humid areas;thickness
66c4b8e02c143fb187f32b91;air;endangered by fossil fules;pollution
66c4ef5e494f7f3b8fb3e78a;air;Can be clean or dirty;clean
66c4ef5e494f7f3b8fb3e78a;air;Can be hot or cold depending on the season.;temperature variation
66c4ef5e494f7f3b8fb3e78a;air;Has Oxygen.;oxygen
66c4ef5e494f7f3b8fb3e78a;air;Is what creates wind.;wind
66c4ef5e494f7f3b8fb3e78a;air;Can be polluted.;pollution
66c4ef5e494f7f3b8fb3e78a;air;Air can be humid or dry.;humidity
66c500a2680630617fb77cb7;air;Mixture of Gases: Air is a mixture of gases, primarily nitrogen (about 78%), oxygen (about 21%), and trace amounts of other gases like argon, carbon dioxide, and water vapor.;gas
66c500a2680630617fb77cb7;air;Essential for Respiration: Air provides oxygen, which is essential for the respiration of most living organisms, including humans, animals, and many microorganisms.;vital
66c500a2680630617fb77cb7;air;Weather and Climate: Air plays a crucial role in weather and climate patterns by distributing heat and moisture around the planet, influencing wind, precipitation, and temperature.;weather
66c500a2680630617fb77cb7;air;Atmospheric Layers: Air forms the Earth's atmosphere, which is divided into layers such as the troposphere, stratosphere, mesosphere, and thermosphere, each with distinct properties and functions.;layers
66c500a2680630617fb77cb7;air;Pressure Variations: Air pressure varies with altitude and weather conditions, affecting everything from breathing at high altitudes to weather systems.;pressure
66c500a2680630617fb77cb7;air;Wind Formation: Movement of air, or wind, is created by differences in air pressure caused by the uneven heating of the Earth's surface by the sun.;wind
66c8d703a9dde9cf7ab92edf;air;nitrogen;nitrogen
66c8d703a9dde9cf7ab92edf;air;oxygen;oxygen
66c8d703a9dde9cf7ab92edf;air;argon;argon
66c8d703a9dde9cf7ab92edf;air;carbon;carbon
66c8d703a9dde9cf7ab92edf;air;neon;neon
66c8d703a9dde9cf7ab92edf;air;helium;helium
66cc8c5018e31d14f4cc6cf9;air;wind;wind
66cc8c5018e31d14f4cc6cf9;air;weather;weather
66cc8c5018e31d14f4cc6cf9;air;pollution;pollution
66cc8c5018e31d14f4cc6cf9;air;oxygen;oxygen
66cc8c5018e31d14f4cc6cf9;air;temperature;temperature
66cc8c5018e31d14f4cc6cf9;air;pressure;pressure
5ddcd77f23f9f1c2c45d6c18;animal;survivor;survival
5ddcd77f23f9f1c2c45d6c18;animal;live in groups;social
5ddcd77f23f9f1c2c45d6c18;animal;acquiring food takes up much of it's time;feeding
5ddcd77f23f9f1c2c45d6c18;animal;aware of it's surroundings;awareness
5ddcd77f23f9f1c2c45d6c18;animal;tries to blend into it's surroundings;camouflage
5ddcd77f23f9f1c2c45d6c18;animal;protects it's offspring;parental care
6044dfc230e44b5793804ba6;animal;a living being;life
6044dfc230e44b5793804ba6;animal;an organism;life
6044dfc230e44b5793804ba6;animal;a living organism;life
6044dfc230e44b5793804ba6;animal;something that is alive;life
6044dfc230e44b5793804ba6;animal;a resident of earth;life
6044dfc230e44b5793804ba6;animal;an organism that is born and dies;life
60ff3613da8baf747efb64d4;animal;Extremely diverse;diversity
60ff3613da8baf747efb64d4;animal;Found in all habitats;ubiquity
60ff3613da8baf747efb64d4;animal;Separate from humans;non-human
60ff3613da8baf747efb64d4;animal;Food chain hierarchy;food chain
60ff3613da8baf747efb64d4;animal;Free;freedom
60ff3613da8baf747efb64d4;animal;Dangerous;dangerous
62c63c653a49b220cb390bdb;animal;bird;bird
62c63c653a49b220cb390bdb;animal;pets;pets
62c63c653a49b220cb390bdb;animal;some are caged;caged
62c63c653a49b220cb390bdb;animal;dangerous animals;dangerous
62c63c653a49b220cb390bdb;animal;trained;trained
62c63c653a49b220cb390bdb;animal;different species;diversity
63af5c586c05eee8c3d03730;animal;Integrated among nature;nature integration
63af5c586c05eee8c3d03730;animal;Predators and prey;food chain
63af5c586c05eee8c3d03730;animal;Balance;balance
63af5c586c05eee8c3d03730;animal;Endangered;endangered
63af5c586c05eee8c3d03730;animal;Loss of natural habitats;habitat loss
63af5c586c05eee8c3d03730;animal;Integrated with nature;nature integration
6501fa22f5070cd868ef3555;animal;beautiful;beauty
6501fa22f5070cd868ef3555;animal;intriguing;intriguing
6501fa22f5070cd868ef3555;animal;brutal;brutal
6501fa22f5070cd868ef3555;animal;habitats need to be preserved;conservation
6501fa22f5070cd868ef3555;animal;Help make up ecosystems;ecological role
6501fa22f5070cd868ef3555;animal;transfer energy from one to another;energy transfer
656083eb366411e4a862f58c;animal;Animals live in nature;nature
656083eb366411e4a862f58c;animal;Most animals do best when left alone in nature;nature
656083eb366411e4a862f58c;animal;Animals help their ecosystems;ecological role
656083eb366411e4a862f58c;animal;Animals are fascinating to watch in nature.;intriguing
656083eb366411e4a862f58c;animal;What is part of an animal's nature should not be a surprise.;instinct
656083eb366411e4a862f58c;animal;People have destroyed animal populations by destroying nature.;habitat loss
65cb7daf7a0c6cb131efe491;animal;Complanion;companionship
65cb7daf7a0c6cb131efe491;animal;can be dangerous;dangerous
65cb7daf7a0c6cb131efe491;animal;loving;loving
65cb7daf7a0c6cb131efe491;animal;loyalty;loyalty
65cb7daf7a0c6cb131efe491;animal;protector;protector
65cb7daf7a0c6cb131efe491;animal;comes in many sizes and colors;diversity
66294cab168fcf0983e95f42;animal;many different types;diversity
66294cab168fcf0983e95f42;animal;wild or domesticated;wild
66294cab168fcf0983e95f42;animal;vary in sizes;size diversity
66294cab168fcf0983e95f42;animal;colorful;colorful
66294cab168fcf0983e95f42;animal;fur or hair;fur
66294cab168fcf0983e95f42;animal;pets;pets
663bb0d5572a24c8014255e0;animal;there are many different species;diversity
663bb0d5572a24c8014255e0;animal;they require different habitats;habitat
663bb0d5572a24c8014255e0;animal;they have different behaviors;behavior
663bb0d5572a24c8014255e0;animal;they are pretty good at adapting;adaptability
663bb0d5572a24c8014255e0;animal;they are a part of a food chain;food chain
663bb0d5572a24c8014255e0;animal;they have their own way of communicating;communication
664252d4a599b06b914bfcd8;animal;multicelled creatures;multicellular
664252d4a599b06b914bfcd8;animal;one brance of the tree of life;life
664252d4a599b06b914bfcd8;animal;food for some;food chain
664252d4a599b06b914bfcd8;animal;controles the plant growth;ecological role
664252d4a599b06b914bfcd8;animal;breathes 02;respiration
664252d4a599b06b914bfcd8;animal;the most evolved of the tree of life;life
6649b007a05647e27f62b71f;animal;Some are pet's;pets
6649b007a05647e27f62b71f;animal;Most Walk on four legs;quadruped
6649b007a05647e27f62b71f;animal;Most are mammal;mammal
6649b007a05647e27f62b71f;animal;Some leaves as packed;social
6649b007a05647e27f62b71f;animal;They coexist with each other;coexistence
6649b007a05647e27f62b71f;animal;Same specie's has the same habitat;habitat
664cd2ad9890dd0635623687;animal;beautiful;beauty
664cd2ad9890dd0635623687;animal;innocent;innocent
664cd2ad9890dd0635623687;animal;large variety of different kinds;diversity
664cd2ad9890dd0635623687;animal;cute;cute
664cd2ad9890dd0635623687;animal;fascinating;intriguing
664cd2ad9890dd0635623687;animal;should be appreciated and respecte;respect
664d1b368228bb6de28e1808;animal;are living beings;life
664d1b368228bb6de28e1808;animal;are either herbivores, omnivores, or carnivors;diet
664d1b368228bb6de28e1808;animal;can reproduce;reproduction
664d1b368228bb6de28e1808;animal;live in nature;nature
664d1b368228bb6de28e1808;animal;are part of the earth;life
664d1b368228bb6de28e1808;animal;are part of the earth's food chain;food chain
665fdbc8f864a0981f7704c4;animal;bears;bear
665fdbc8f864a0981f7704c4;animal;birds;bird
665fdbc8f864a0981f7704c4;animal;elephants;elephant
665fdbc8f864a0981f7704c4;animal;zebra;zebra
665fdbc8f864a0981f7704c4;animal;lions;lion
665fdbc8f864a0981f7704c4;animal;monkeys;monkey
66686fb41f69d46386c65fce;animal;Small;size
66686fb41f69d46386c65fce;animal;Big;size
66686fb41f69d46386c65fce;animal;Predator;predator
66686fb41f69d46386c65fce;animal;Prey;prey
66686fb41f69d46386c65fce;animal;Food chain;food chain
66686fb41f69d46386c65fce;animal;Control;control
6676a7163e8ac376937ab791;animal;Playful;playful
6676a7163e8ac376937ab791;animal;Loyal;loyalty
6676a7163e8ac376937ab791;animal;Predatory;predator
6676a7163e8ac376937ab791;animal;Driven by instinct;instinct
6676a7163e8ac376937ab791;animal;Nurturing their offsprings;parental care
6676a7163e8ac376937ab791;animal;Predatory;predator
669136cff0507cfbfa7db59c;animal;movement;movement
669136cff0507cfbfa7db59c;animal;reproduction;reproduction
669136cff0507cfbfa7db59c;animal;sensory organs;sensory
669136cff0507cfbfa7db59c;animal;respiratory;respiration
669136cff0507cfbfa7db59c;animal;circulatory systems;circulatory
669136cff0507cfbfa7db59c;animal;developmental stages;development
66a94c224273fab59f0b2c71;animal;Composed of many cells.;multicellular
66a94c224273fab59f0b2c71;animal;Can move independently.;movement
66a94c224273fab59f0b2c71;animal;Feeds on plants, other animals, or both.;feeding
66a94c224273fab59f0b2c71;animal;Can reproduce through various methods.;reproduction
66a94c224273fab59f0b2c71;animal;Possesses a system for coordinating actions and responses.;nervous system
66a94c224273fab59f0b2c71;animal;Needs oxygen for respiration (except some aquatic animals that use different methods).;respiration
66bce9c6697172946d3ec031;animal;Untamed;wild
66bce9c6697172946d3ec031;animal;Instinctive;instinct
66bce9c6697172946d3ec031;animal;Capable of complex emotions and behaviors;complex behavior
66bce9c6697172946d3ec031;animal;Some are threatened or endangeered;endangered
66bce9c6697172946d3ec031;animal;Fascinating to observe in the wild;intriguing
66bce9c6697172946d3ec031;animal;Wild;wild
66bd6df5c20bfcfccf9219da;animal;it is found in nature;nature
66bd6df5c20bfcfccf9219da;animal;animals are good;good
66bd6df5c20bfcfccf9219da;animal;animals contribute to nature;nature
66bd6df5c20bfcfccf9219da;animal;animals are a valued part of the ecosystem;ecological role
66bd6df5c20bfcfccf9219da;animal;animals are caring;care
66bd6df5c20bfcfccf9219da;animal;take care of nature;conservation
66cb97897f96f55dc61a0213;animal;Animals are destructive;destructive
66cb97897f96f55dc61a0213;animal;Animals are interdependent;interdependence
66cb97897f96f55dc61a0213;animal;animals stick to their instinct;instinct
66cb97897f96f55dc61a0213;animal;animals stick to their behaviour;instinct
66cb97897f96f55dc61a0213;animal;Animals reproduce;reproduction
66cb97897f96f55dc61a0213;animal;Animals migrate;migration
66cc941dd539def77aa507cd;animal;wild;wild
66cc941dd539def77aa507cd;animal;free;freedom
66cc941dd539def77aa507cd;animal;beautiful;beauty
66cc941dd539def77aa507cd;animal;life;life
66cc941dd539def77aa507cd;animal;coexist;coexistence
66cc941dd539def77aa507cd;animal;great;greatness
560379c9e372c00011bd4a90;beauty;a sense of connection and unity, where all elements are part of a larger, interconnected system;connection
560379c9e372c00011bd4a90;beauty;a sunset;nature
560379c9e372c00011bd4a90;beauty;blooming flowers;flowers
560379c9e372c00011bd4a90;beauty;the structure of a snowflake;complexity
560379c9e372c00011bd4a90;beauty;Harmony and proportion;positive emotion
560379c9e372c00011bd4a90;beauty;wide range of colors, shapes, and patterns;diversity
59d52d7821977e0001d63082;beauty;abundant;ubiquity
59d52d7821977e0001d63082;beauty;unbiquitous;ubiquity
59d52d7821977e0001d63082;beauty;colorful;colorful
59d52d7821977e0001d63082;beauty;natural;nature
59d52d7821977e0001d63082;beauty;all-around;ubiquity
59d52d7821977e0001d63082;beauty;fragile;fragility
5c3a865019ceb400010c914a;beauty;pretty;beauty
5c3a865019ceb400010c914a;beauty;nice;pleasant
5c3a865019ceb400010c914a;beauty;pleasant;pleasant
5c3a865019ceb400010c914a;beauty;cool;pleasant
5c3a865019ceb400010c914a;beauty;rosey;colorful
5c3a865019ceb400010c914a;beauty;great;beauty
6044dfc230e44b5793804ba6;beauty;something aesthetically pleasing;pleasing
6044dfc230e44b5793804ba6;beauty;something that is pleasant to look at;pleasant
6044dfc230e44b5793804ba6;beauty;the state of something being pleasant;pleasant
6044dfc230e44b5793804ba6;beauty;a condition of being sublime;sublime
6044dfc230e44b5793804ba6;beauty;something about the natural world that is pleasant to humans;nature
6044dfc230e44b5793804ba6;beauty;something majestic and nice to look at;majestic
632e2c66680515d1715945a7;beauty;its in the eye of the beholder;subjective
632e2c66680515d1715945a7;beauty;don't wanna stop looking at it;captivating
632e2c66680515d1715945a7;beauty;photogenic;photogenic
632e2c66680515d1715945a7;beauty;nothing else like it;unique
632e2c66680515d1715945a7;beauty;stunning;stunning
632e2c66680515d1715945a7;beauty;majestic;majestic
633123ac6586455bafd87628;beauty;Symmetry in nature is often seen as beautiful;symmetry
633123ac6586455bafd87628;beauty;Mountains are majestic and beautiful;majestic
633123ac6586455bafd87628;beauty;The sky above us is beautiful;beauty
633123ac6586455bafd87628;beauty;Beauty is everywhere around us;ubiquity
633123ac6586455bafd87628;beauty;There is beauty in tree's and rivers;beauty
633123ac6586455bafd87628;beauty;It can be found everywhere in nature;nature
660995c628f9390d8b2ba235;beauty;Natural;nature
660995c628f9390d8b2ba235;beauty;Colorful;colorful
660995c628f9390d8b2ba235;beauty;Flowers;flowers
660995c628f9390d8b2ba235;beauty;Trees;trees
660995c628f9390d8b2ba235;beauty;Ocean;nature
660995c628f9390d8b2ba235;beauty;Animals;animals
662e50cf3365a5b0f91e89e5;beauty;Flowers;flowers
662e50cf3365a5b0f91e89e5;beauty;Trees;trees
662e50cf3365a5b0f91e89e5;beauty;Mountains;landscape
662e50cf3365a5b0f91e89e5;beauty;Rivers;landscape
662e50cf3365a5b0f91e89e5;beauty;Waterfalls;landscape
662e50cf3365a5b0f91e89e5;beauty;Animals;animals
663a6faaa98b09578f6ba791;beauty;its everywhere;ubiquity
663a6faaa98b09578f6ba791;beauty;its subjective;subjective
663a6faaa98b09578f6ba791;beauty;its a sunrise;nature
663a6faaa98b09578f6ba791;beauty;its a communalistic relationship between animals;connection
663a6faaa98b09578f6ba791;beauty;the forest after its rained;serenity
663a6faaa98b09578f6ba791;beauty;snow on a mountain top;landscape
663ba8cfb0cabd4cfa5bf598;beauty;It normally has harmony;positive emotion
663ba8cfb0cabd4cfa5bf598;beauty;It has diversity;diversity
663ba8cfb0cabd4cfa5bf598;beauty;seasonally changing;transience
663ba8cfb0cabd4cfa5bf598;beauty;has a degree of complexity;complexity
663ba8cfb0cabd4cfa5bf598;beauty;Has vibrancy;vibrancy
663ba8cfb0cabd4cfa5bf598;beauty;serenity quality;serenity
663f558889f2441837da5833;beauty;Inspires wonder and awe;inspiration
663f558889f2441837da5833;beauty;Found in diverse landscapes and formations;diversity
663f558889f2441837da5833;beauty;Evokes emotions and serenity;serenity
663f558889f2441837da5833;beauty;Often associated with vibrant colors and patterns;colorful
663f558889f2441837da5833;beauty;Can be fragile and ephemeral (e.g., sunsets, blooms);fragility
663f558889f2441837da5833;beauty;can be fragile and ephemeral (e.g., sunsets, blooms);fragility
665fc8123159edac3b65bd62;beauty;Symmetry;symmetry
665fc8123159edac3b65bd62;beauty;Serenity;serenity
665fc8123159edac3b65bd62;beauty;Warmth;warmth
665fc8123159edac3b65bd62;beauty;Brightness;brightness
665fc8123159edac3b65bd62;beauty;Love;love
665fc8123159edac3b65bd62;beauty;Personality;personality
665fdbc8f864a0981f7704c4;beauty;beauty itslef;beauty
665fdbc8f864a0981f7704c4;beauty;free;freedom
665fdbc8f864a0981f7704c4;beauty;elegant;elegance
665fdbc8f864a0981f7704c4;beauty;powerful;power
665fdbc8f864a0981f7704c4;beauty;self love;self-esteem
665fdbc8f864a0981f7704c4;beauty;self esteem;self-esteem
66659e3342b581f199e47a4d;beauty;diversity and variety;diversity
66659e3342b581f199e47a4d;beauty;impermanence and transcience;transience
66659e3342b581f199e47a4d;beauty;universal appeal;universal
66659e3342b581f199e47a4d;beauty;emotional resonance;positive emotion
66659e3342b581f199e47a4d;beauty;dynamic and ever changing;transience
66659e3342b581f199e47a4d;beauty;inspiration and creativity;inspiration
6672e829cad8cb996c7fb2f5;beauty;Trees;trees
6672e829cad8cb996c7fb2f5;beauty;animals;animals
6672e829cad8cb996c7fb2f5;beauty;mountains;landscape
6672e829cad8cb996c7fb2f5;beauty;water;water
6672e829cad8cb996c7fb2f5;beauty;stunning;stunning
6672e829cad8cb996c7fb2f5;beauty;unreal;unique
6676a7163e8ac376937ab791;beauty;Pure;purity
6676a7163e8ac376937ab791;beauty;Elegant;elegance
6676a7163e8ac376937ab791;beauty;Subtle;subtle
6676a7163e8ac376937ab791;beauty;Warm;warmth
6676a7163e8ac376937ab791;beauty;Captivating;captivating
6676a7163e8ac376937ab791;beauty;Enchanting;positive emotion
66844cc133a4d360bca29862;beauty;Aesthetics;aestheric
66844cc133a4d360bca29862;beauty;Diversity;diversity
66844cc133a4d360bca29862;beauty;Harmony;positive emotion
66844cc133a4d360bca29862;beauty;Connection;connection
66844cc133a4d360bca29862;beauty;colors;color
66844cc133a4d360bca29862;beauty;Diversity;diversity
66a94c224273fab59f0b2c71;beauty;Includes landscapes, flora, and fauna.;nature
66a94c224273fab59f0b2c71;beauty;Features a range of colors from bright to subtle.;colorful
66a94c224273fab59f0b2c71;beauty;Displays intricate patterns and structures.;complexity
66a94c224273fab59f0b2c71;beauty;Changes with seasons and times of day.;transience
66a94c224273fab59f0b2c71;beauty;Can inspire awe, peace, or wonder.;inspiration
66a94c224273fab59f0b2c71;beauty;Offers calming and soothing effects.;serenity
66b635dca3342be8bcf8a928;beauty;changes over time;transience
66b635dca3342be8bcf8a928;beauty;positive personality;personality
66b635dca3342be8bcf8a928;beauty;psychological impact;positive emotion
66b635dca3342be8bcf8a928;beauty;recognition;positive emotion
66b635dca3342be8bcf8a928;beauty;emotional connection;positive emotion
66b635dca3342be8bcf8a928;beauty;aesthetic appreciation;aestheric
66c4ef5e494f7f3b8fb3e78a;beauty;Natural environments;nature
66c4ef5e494f7f3b8fb3e78a;beauty;Can help with tranquility;serenity
66c4ef5e494f7f3b8fb3e78a;beauty;In places where all four seasons occur, Beauty can be found in each one in its own way.;seasonal change
66c4ef5e494f7f3b8fb3e78a;beauty;Clean environments typically have beautiful nature landscapes.;landscape
66c4ef5e494f7f3b8fb3e78a;beauty;Bright colors;colorful
66c4ef5e494f7f3b8fb3e78a;beauty;It can be valuable. Think tourism.;value
66cb78f04ed4a1b1d34f276d;beauty;naturally made;nature
66cb78f04ed4a1b1d34f276d;beauty;autumn colors and breeze;seasonal change
66cb78f04ed4a1b1d34f276d;beauty;warm sunlight on your skin;warmth
66cb78f04ed4a1b1d34f276d;beauty;wild flowers and plants in full bloom;flowers
66cb78f04ed4a1b1d34f276d;beauty;wind moving the leaves;nature
66cb78f04ed4a1b1d34f276d;beauty;Calm waters of an early morning;serenity
66cb97897f96f55dc61a0213;beauty;Beauty is relative;subjective
66cb97897f96f55dc61a0213;beauty;beauty is diverse and complex;diversity
66cb97897f96f55dc61a0213;beauty;beauty is tied to strength;strength
66cb97897f96f55dc61a0213;beauty;beauty is simple eg  sky;simplicity
66cb97897f96f55dc61a0213;beauty;beauty is relaxing like viewing some colors;serenity
66cb97897f96f55dc61a0213;beauty;beauty lies in its transience;transience
66cc941dd539def77aa507cd;beauty;majestic;majestic
66cc941dd539def77aa507cd;beauty;open;openness
66cc941dd539def77aa507cd;beauty;free;freedom
66cc941dd539def77aa507cd;beauty;coexist;coexistence
66cc941dd539def77aa507cd;beauty;green;green
66cc941dd539def77aa507cd;beauty;lovely;pleasant
5b44d567eb64c200015baca0;bird;many migrate;migration
5b44d567eb64c200015baca0;bird;not all birds can fly;flight
5b44d567eb64c200015baca0;bird;some have selected ecosystems;habitat
5b44d567eb64c200015baca0;bird;they hunt;hunting
5b44d567eb64c200015baca0;bird;they lay eggs;egg-laying
5b44d567eb64c200015baca0;bird;they build nests;nesting
5de56b9deda9320ecb83f522;bird;flying;flight
5de56b9deda9320ecb83f522;bird;finding worms;feeding
5de56b9deda9320ecb83f522;bird;making noise;singing
5de56b9deda9320ecb83f522;bird;building nest;nesting
5de56b9deda9320ecb83f522;bird;sitting on powerlines;perching
5de56b9deda9320ecb83f522;bird;littering car windshields;littering
5eaf585e8a9edb65a576c008;bird;usually can fly;flight
5eaf585e8a9edb65a576c008;bird;they are everywhere;ubiquity
5eaf585e8a9edb65a576c008;bird;typically migrate;migration
5eaf585e8a9edb65a576c008;bird;are loud;loud
5eaf585e8a9edb65a576c008;bird;can bring deseases;disease
5eaf585e8a9edb65a576c008;bird;important for the cicle of life;ecological role
5fb9eb323531776e460fe5e0;bird;They fly in the sky;flight
5fb9eb323531776e460fe5e0;bird;They make nests in trees;nesting
5fb9eb323531776e460fe5e0;bird;They eat earth worms;worms
5fb9eb323531776e460fe5e0;bird;They fly south for the winter;migration
5fb9eb323531776e460fe5e0;bird;They sing beautiful songs in the morning;singing
5fb9eb323531776e460fe5e0;bird;They lay eggs;egg-laying
611e99910d64a6ea6d18b0a6;bird;has feathers;feathers
611e99910d64a6ea6d18b0a6;bird;lays eggs;egg-laying
611e99910d64a6ea6d18b0a6;bird;most can fly;flight
611e99910d64a6ea6d18b0a6;bird;migrate in winter;migration
611e99910d64a6ea6d18b0a6;bird;have  beaks;beak
611e99910d64a6ea6d18b0a6;bird;most can fly;flight
62aa325191aac4ab446f13e6;bird;mouth to mouth;feeding
62aa325191aac4ab446f13e6;bird;motherly;parental care
62aa325191aac4ab446f13e6;bird;protective;parental care
62aa325191aac4ab446f13e6;bird;can fly;flight
62aa325191aac4ab446f13e6;bird;varying colors;diversity
62aa325191aac4ab446f13e6;bird;have beaks;beak
660c0b7feec9d15f01e4fec4;bird;blue;blue
660c0b7feec9d15f01e4fec4;bird;makes noise;singing
660c0b7feec9d15f01e4fec4;bird;woodpecker;woodpecker
660c0b7feec9d15f01e4fec4;bird;enjoys trees;habitat
