ID;Concepto;respuesta;Code
662e50cf3365a5b0f91e89e5;america;Have the option of exercising your power to vote;voting power
662e50cf3365a5b0f91e89e5;america;There are many sources for information;information access
662e50cf3365a5b0f91e89e5;america;Representation;representation
664a4648a07bac3059d69442;america;guns are legal;gun rights
664a4648a07bac3059d69442;america;freedom of expression and speech;free speech
664a4648a07bac3059d69442;america;the right to vote for who you want in office;voting rights
664a4648a07bac3059d69442;america;right to protest;protest rights
664a4648a07bac3059d69442;america;freedom but having to pay taxes;tax obligation
664a4648a07bac3059d69442;america;Elected leaders not doing what they say;broken promises
664cd2ad9890dd0635623687;america;leader of the free world;world leader
664cd2ad9890dd0635623687;america;ideal example;example
664cd2ad9890dd0635623687;america;free;freedom
664cd2ad9890dd0635623687;america;fair;fairness
664cd2ad9890dd0635623687;america;equality for all;equality
664cd2ad9890dd0635623687;america;superpower;superpower
665fc8123159edac3b65bd62;america;free;freedom
665fc8123159edac3b65bd62;america;rich;wealth
665fc8123159edac3b65bd62;america;powerful;power
665fc8123159edac3b65bd62;america;for the people;representation
665fc8123159edac3b65bd62;america;representative democracy;democracy
665fc8123159edac3b65bd62;america;lenient;leniency
6670c1f3b2f38a44e95e40e9;america;recently been a hot topic;controversy
6670c1f3b2f38a44e95e40e9;america;founded on democracy;democratic foundation
6670c1f3b2f38a44e95e40e9;america;not a perfect democracy;imperfect
6670c1f3b2f38a44e95e40e9;america;very divided;polarization
6670c1f3b2f38a44e95e40e9;america;not everyones voice is equal;inequality
6670c1f3b2f38a44e95e40e9;america;always changing;evolving
6690658efa35318b0683ce00;america;it's not guaranteed or inalienable;fragility
6690658efa35318b0683ce00;america;gives a false sense of security;false security
6690658efa35318b0683ce00;america;taken for granted\;complacency
6690658efa35318b0683ce00;america;perceived as an example for others to follow;example
6690658efa35318b0683ce00;america;inalienable rights;rights
6690658efa35318b0683ce00;america;land of the free because of the brave;patriotism
669fb915167d6c4b8e71dbfb;america;Symbol of freedom: America is often seen as a symbol of freedom, democracy, and opportunity globally.;freedom
669fb915167d6c4b8e71dbfb;america;Accountability: America's government is accountable to the people, through regular elections and oversight.;accountability
669fb915167d6c4b8e71dbfb;america;Transparency: America's government is transparent, with open records and accessible information.;transparency
669fb915167d6c4b8e71dbfb;america;Strong civil society: America has a strong civil society, with vibrant non-profit organizations and community groups.;civil society
669fb915167d6c4b8e71dbfb;america;Protection of minority rights: America protects minority rights, ensuring equal protection under the law.;minority rights
669fb915167d6c4b8e71dbfb;america;Citizen participation: America encourages citizen participation, through voting, activism, and community engagement.;citizen participation
66ae4e1667d582012b15e0e9;america;Withered;declining
66ae4e1667d582012b15e0e9;america;Divided;polarization
66ae4e1667d582012b15e0e9;america;Arrogant;arrogance
66ae4e1667d582012b15e0e9;america;Chaotic;chaos
66ae4e1667d582012b15e0e9;america;Imperial;imperialism
66ae4e1667d582012b15e0e9;america;Ineffective;ineffectiveness
66b635dca3342be8bcf8a928;america;founding principles;democratic foundation
66b635dca3342be8bcf8a928;america;Federal republic;democratic republic
66b635dca3342be8bcf8a928;america;representative democracy;democracy
66b635dca3342be8bcf8a928;america;Electoral system;Electoral College
66b635dca3342be8bcf8a928;america;Regular elections;elections
66b635dca3342be8bcf8a928;america;Two-Party system;two-party system
66b8a7b81de82a46557b0943;america;Citizens of America has voting powers;voting rights
66b8a7b81de82a46557b0943;america;America has multi party system;pluralism
66b8a7b81de82a46557b0943;america;Leaders are being elected;elected leadership
66b8a7b81de82a46557b0943;america;America has constitutional framework.;constitution
66b8a7b81de82a46557b0943;america;Represents democracy;democracy
66b8a7b81de82a46557b0943;america;Has federal system;federal system
66c65480c7bbaea3315697a1;america;"Everyone has a voice; voting is a right;";voting rights
66c65480c7bbaea3315697a1;america;freedom to be who you are without being mocked;freedom
66c65480c7bbaea3315697a1;america;education;educated
66c65480c7bbaea3315697a1;america;government is people's choice;representation
66c65480c7bbaea3315697a1;america;the ability to have a say in how the country is run;representation
66c65480c7bbaea3315697a1;america;representation of the people by elected officials;representation
66cc941dd539def77aa507cd;america;broke;economic struggle
66cc941dd539def77aa507cd;america;flawed;imperfect
66cc941dd539def77aa507cd;america;undemocratic;not true democracy
66cc941dd539def77aa507cd;america;not for the people;unrepresentative
66cc941dd539def77aa507cd;america;unjust;unjust
66cc941dd539def77aa507cd;america;scary;scary
5cb489ff0cd1ed0017465d19;choice;freedom;freedom
5cb489ff0cd1ed0017465d19;choice;a desire to be able to ones own choice;freedom
5cb489ff0cd1ed0017465d19;choice;options;options
5cb489ff0cd1ed0017465d19;choice;two sides;opposing sides
5cb489ff0cd1ed0017465d19;choice;possible negative outcome;possible outcome
5cb489ff0cd1ed0017465d19;choice;possible positive outcome;possible outcome
6044dfc230e44b5793804ba6;choice;freedom;freedom
6044dfc230e44b5793804ba6;choice;options;options
6044dfc230e44b5793804ba6;choice;privacy;privacy
6044dfc230e44b5793804ba6;choice;freedom of choice;freedom
6044dfc230e44b5793804ba6;choice;choosing a leader;voting
6044dfc230e44b5793804ba6;choice;choosing a policy;voting
60ff3613da8baf747efb64d4;choice;Often false;misinformation
60ff3613da8baf747efb64d4;choice;Usually between a few individuals rather than anyone;limited choice
60ff3613da8baf747efb64d4;choice;Red or blue;two-party system
60ff3613da8baf747efb64d4;choice;Political parties give the illusion of choice;illusory
60ff3613da8baf747efb64d4;choice;Money dictates choice;money influence
60ff3613da8baf747efb64d4;choice;Still, a decision must be made;decision making
64de1dc625bd889292e88fb2;choice;making good decisions;decision making
64de1dc625bd889292e88fb2;choice;freedom to choose;freedom
64de1dc625bd889292e88fb2;choice;stop to think;reflection
64de1dc625bd889292e88fb2;choice;making choices in your own best interest;self-interest
64de1dc625bd889292e88fb2;choice;opposing sides;opposing sides
64de1dc625bd889292e88fb2;choice;can cause conflict;conflict
65e36bdfc024b2bf0a9b706e;choice;applies to one's own body;bodily autonomy
65e36bdfc024b2bf0a9b706e;choice;applies to one's vocation;career choice
65e36bdfc024b2bf0a9b706e;choice;applies to self, not others;personal autonomy
65e36bdfc024b2bf0a9b706e;choice;subject to staying within laws;legal constraint
65e36bdfc024b2bf0a9b706e;choice;not always informed;uninformed
65e36bdfc024b2bf0a9b706e;choice;more choice in a democracy than something like a dictatorship;democratic freedom
663ba8cfb0cabd4cfa5bf598;choice;electoral choice freedom;voting
663ba8cfb0cabd4cfa5bf598;choice;freedom of expression;free speech
663ba8cfb0cabd4cfa5bf598;choice;civil liberties;civil liberties
663ba8cfb0cabd4cfa5bf598;choice;economic choices;economic freedom
663ba8cfb0cabd4cfa5bf598;choice;diverse media;diverse media
663ba8cfb0cabd4cfa5bf598;choice;policy option;policy choice
663f1b06f604d9297d8d9d17;choice;not always aligned with who the people want or choose, popular vote does not always show;misaligned representation
663f1b06f604d9297d8d9d17;choice;Electoral college is another method;Electoral College
663f1b06f604d9297d8d9d17;choice;Very important, without a say we lose a lot of power;voter power
663f1b06f604d9297d8d9d17;choice;Many choose not to use their vote;voter apathy
663f1b06f604d9297d8d9d17;choice;The choice is not always easy and not always a close vote;difficult choice
663f1b06f604d9297d8d9d17;choice;only have limited window for the choice;time constraint
665fdbc8f864a0981f7704c4;choice;voting laws;voting laws
665fdbc8f864a0981f7704c4;choice;citizens have authority to influence policy;citizen influence
665fdbc8f864a0981f7704c4;choice;peoples government;democracy
665fdbc8f864a0981f7704c4;choice;power;power
665fdbc8f864a0981f7704c4;choice;protect american citizens;protection
665fdbc8f864a0981f7704c4;choice;economic development;economic growth
66659e3342b581f199e47a4d;choice;multiple options;options
66659e3342b581f199e47a4d;choice;unbiased media;unbiased media
66659e3342b581f199e47a4d;choice;choice in voting methods;voting options
66659e3342b581f199e47a4d;choice;debates and forums;political engagement
66659e3342b581f199e47a4d;choice;access of information;information access
66659e3342b581f199e47a4d;choice;voter autonomy;voter autonomy
6667f51b2d41bb1d4f8be618;choice;Freedom to choose;freedom
6667f51b2d41bb1d4f8be618;choice;Liberty to make decisions;liberty
6667f51b2d41bb1d4f8be618;choice;Multiple options;options
6667f51b2d41bb1d4f8be618;choice;Informed decision making;informed choice
6667f51b2d41bb1d4f8be618;choice;Voluntary participation;voluntary participation
6667f51b2d41bb1d4f8be618;choice;Equal opportunity;equal opportunity
667e981e0487e84f8b2e31da;choice;decision making;decision making
667e981e0487e84f8b2e31da;choice;voting;voting
667e981e0487e84f8b2e31da;choice;choosing candidates;candidate selection
667e981e0487e84f8b2e31da;choice;freedom of speech;free speech
667e981e0487e84f8b2e31da;choice;advocacy;advocacy
667e981e0487e84f8b2e31da;choice;selecting range of political parties;party selection
6682815cb709d276088344b9;choice;Happines;positive emotion
6682815cb709d276088344b9;choice;Love;love
6682815cb709d276088344b9;choice;Peace;peace
6682815cb709d276088344b9;choice;Unity;unity
6682815cb709d276088344b9;choice;Togetherness;togetherness
6682815cb709d276088344b9;choice;Oneness;oneness
66844cc133a4d360bca29862;choice;different candidates;candidate selection
66844cc133a4d360bca29862;choice;range of issues to vote on;issue selection
66844cc133a4d360bca29862;choice;different voting locations;voting locations
66844cc133a4d360bca29862;choice;Accountability;accountability
66844cc133a4d360bca29862;choice;Freedom of expression;free speech
66844cc133a4d360bca29862;choice;Transparency;transparency
669fb915167d6c4b8e71dbfb;choice;Fundamental right: Choice is considered a fundamental right in democratic societies.;democratic right
669fb915167d6c4b8e71dbfb;choice;Empowers citizens: Choice empowers citizens, giving them a voice in decision-making.;citizen influence
669fb915167d6c4b8e71dbfb;choice;Allows for change: Choice allows for change, enabling citizens to alter the course of government.;government change
669fb915167d6c4b8e71dbfb;choice;Reflects popular will: Choice reflects the will of the people, shaping policy and governance.;popular will
669fb915167d6c4b8e71dbfb;choice;Encourages participation: Choice encourages citizen participation in the democratic process.;citizen participation
669fb915167d6c4b8e71dbfb;choice;Promotion of diversity: Choice promotes diversity, allowing individuals to express unique perspectives and preferences.;diversity
66afdf5757a1da7fe13a8dbe;choice;happy;positive emotion
66afdf5757a1da7fe13a8dbe;choice;Privillege;privilege
66afdf5757a1da7fe13a8dbe;choice;Oneness;oneness
66afdf5757a1da7fe13a8dbe;choice;Unity;unity
66afdf5757a1da7fe13a8dbe;choice;Togetherness;togetherness
66afdf5757a1da7fe13a8dbe;choice;Love;love
66be73fb77e4690f2ba1e7ee;choice;Democrat, republican, rights, government;two-party system
66be73fb77e4690f2ba1e7ee;choice;Independent, democrat, republican;two-party system
66be73fb77e4690f2ba1e7ee;choice;Freedom, legislation, props;freedom
66be73fb77e4690f2ba1e7ee;choice;Voter registration, election, electoral college;Electoral College
66be73fb77e4690f2ba1e7ee;choice;Left, right, conspiracy theories;polarization
66be73fb77e4690f2ba1e7ee;choice;Good, bad, freedom;freedom
66c4b8e02c143fb187f32b91;choice;limited;limited choice
66c4b8e02c143fb187f32b91;choice;is usually between two people of mild difference in political position.;limited choice
66c4b8e02c143fb187f32b91;choice;ones own ability;personal autonomy
66c4b8e02c143fb187f32b91;choice;frustrating;frustration
66c4b8e02c143fb187f32b91;choice;a weight to be burdened by;burden
66c4b8e02c143fb187f32b91;choice;forced into;coercion
66c65480c7bbaea3315697a1;choice;my right to say who or what;free speech
66c65480c7bbaea3315697a1;choice;giving all the opportunity to have a say in government;voter equality
66c65480c7bbaea3315697a1;choice;the right to vote for a specific thing;voting rights
66c65480c7bbaea3315697a1;choice;the right to vote against a particular thing;voting rights
66c65480c7bbaea3315697a1;choice;fair way for each person to vote;fair voting
66c65480c7bbaea3315697a1;choice;being able to decide not be dictated to;freedom
66cb3c445f437327d8953c0b;choice;freedom of political expression;free speech
66cb3c445f437327d8953c0b;choice;choice of choosing leaders;candidate selection
66cb3c445f437327d8953c0b;choice;multiple political parties;party selection
66cb3c445f437327d8953c0b;choice;choice to vote;voting
66cb3c445f437327d8953c0b;choice;democracy;democracy
66cb3c445f437327d8953c0b;choice;choice of leaders;candidate selection
66cc941dd539def77aa507cd;choice;for the people;democracy
66cc941dd539def77aa507cd;choice;just;justice
66cc941dd539def77aa507cd;choice;majority rules;majority rule
66cc941dd539def77aa507cd;choice;fair;fairness
66cc941dd539def77aa507cd;choice;we the people;representation
66cc941dd539def77aa507cd;choice;just;justice
560379c9e372c00011bd4a90;congress;a forum for discussion and debate on national issues;debates
560379c9e372c00011bd4a90;congress;allows diverse viewpoints to be considered in the legislative process;diverse viewpoints
560379c9e372c00011bd4a90;congress;has the authority to approve budgets;approve budgets
560379c9e372c00011bd4a90;congress;oversee government spending;oversight
560379c9e372c00011bd4a90;congress;ensuring that no single branch of government becomes too powerful;checks and balances
560379c9e372c00011bd4a90;congress;holds the power to propose, debate, and pass laws that govern the country;law making
5dd405ab80123f3eaae9af80;congress;Congress is part of our base democracy.;democracy
5dd405ab80123f3eaae9af80;congress;Congress is meant to work for the people it represents.;representation
5dd405ab80123f3eaae9af80;congress;Congress is elected by the people in our democracy.;elected representatives
5dd405ab80123f3eaae9af80;congress;Congress is the people's voice in our democracy.;representation
5dd405ab80123f3eaae9af80;congress;Congress should listen to the people of a democracy.;representation
5dd405ab80123f3eaae9af80;congress;Congress should not leave out anyone's voice in the legislative process.;inclusivity
5ddcd77f23f9f1c2c45d6c18;congress;represent the population;representation
5ddcd77f23f9f1c2c45d6c18;congress;is voted into office;elected
5ddcd77f23f9f1c2c45d6c18;congress;can easily be influenced by money interests;money influence
5ddcd77f23f9f1c2c45d6c18;congress;attempts to compromise;compromise
5ddcd77f23f9f1c2c45d6c18;congress;can be changed by the public;public influence
5ddcd77f23f9f1c2c45d6c18;congress;provides leadership;leadership
5fb9eb323531776e460fe5e0;congress;House of Representatives;House of Representatives
5fb9eb323531776e460fe5e0;congress;The Senate;Senate
5fb9eb323531776e460fe5e0;congress;The President;President
5fb9eb323531776e460fe5e0;congress;The Vice President;Vice President
5fb9eb323531776e460fe5e0;congress;Attorney General;Attorney General
5fb9eb323531776e460fe5e0;congress;Making laws;law making
60bae09961af203bacbbd937;congress;overpowering;overreach
60bae09961af203bacbbd937;congress;unfair;unfairness
60bae09961af203bacbbd937;congress;too controlling;overreach
60bae09961af203bacbbd937;congress;overbearing;overreach
60bae09961af203bacbbd937;congress;nosey;overreach
60bae09961af203bacbbd937;congress;too powerful;overreach
633123ac6586455bafd87628;congress;Congress passes laws;law making
633123ac6586455bafd87628;congress;Congress dictates the freedoms that we have in our lives.;law making
633123ac6586455bafd87628;congress;Congress is responsible for deciding on spending in our country;oversight
633123ac6586455bafd87628;congress;Congress is voted in by the people;elected representatives
633123ac6586455bafd87628;congress;Congress is voted in to represent the will of the people.;representation
633123ac6586455bafd87628;congress;Because of how divided we are as a country, people often do not agree on the direction congress takes.;divided
64de1dc625bd889292e88fb2;congress;a body of people;legislative body
64de1dc625bd889292e88fb2;congress;vote on legislature;law making
64de1dc625bd889292e88fb2;congress;write laws;law making
64de1dc625bd889292e88fb2;congress;make big decisions;decision making
64de1dc625bd889292e88fb2;congress;high in power;high authority
64de1dc625bd889292e88fb2;congress;overpaid;overpaid
6501fa22f5070cd868ef3555;congress;Elected;elected
6501fa22f5070cd868ef3555;congress;Creates laws;law making
6501fa22f5070cd868ef3555;congress;Divided by party;partisanship
6501fa22f5070cd868ef3555;congress;term limits necessary;term limits
6501fa22f5070cd868ef3555;congress;corrupt;corruption
6501fa22f5070cd868ef3555;congress;Lifelong politicians;career politicians
65ce5d8d0219b79ced7729cd;congress;legislature;legislature
65ce5d8d0219b79ced7729cd;congress;make laws;law making
65ce5d8d0219b79ced7729cd;congress;sentate;Senate
65ce5d8d0219b79ced7729cd;congress;house of representation;House of Representatives
65ce5d8d0219b79ced7729cd;congress;help president;executive support
65ce5d8d0219b79ced7729cd;congress;pass bills;law making
660f47622d59323a7b9d0aef;congress;Rules;rules
660f47622d59323a7b9d0aef;congress;Older Generation;older generation
660f47622d59323a7b9d0aef;congress;Older men;older men
660f47622d59323a7b9d0aef;congress;Voting;voting
660f47622d59323a7b9d0aef;congress;Dictatorship;dictatorship
660f47622d59323a7b9d0aef;congress;Republican;Republican
662e50cf3365a5b0f91e89e5;congress;Too divided;divided
662e50cf3365a5b0f91e89e5;congress;Has more control than people give credit;underrated power
662e50cf3365a5b0f91e89e5;congress;Electoral College defeats the purpose of true democracy;Electoral College
662e50cf3365a5b0f91e89e5;congress;Those voted in are a moderate representation of the real population;representation gap
662e50cf3365a5b0f91e89e5;congress;since it goes through 2 houses, there is a fairer chance if both parties are represented efficiently;checks and balances
662e50cf3365a5b0f91e89e5;congress;Tries to represent by people per capita;representation
664252d4a599b06b914bfcd8;congress;elected representatives for each state;state representation
664252d4a599b06b914bfcd8;congress;helps write laws and bill that the people will live under;law making
664252d4a599b06b914bfcd8;congress;is a give and take enviroment;compromise
664252d4a599b06b914bfcd8;congress;has become polorized;polarization
664252d4a599b06b914bfcd8;congress;works slowly;slow process
664252d4a599b06b914bfcd8;congress;the voice for the voter;representation
6672e829cad8cb996c7fb2f5;congress;Group of deciders;decision making
6672e829cad8cb996c7fb2f5;congress;Court;court
6672e829cad8cb996c7fb2f5;congress;House;House of Representatives
6672e829cad8cb996c7fb2f5;congress;Assigned;appointed
6672e829cad8cb996c7fb2f5;congress;Probably corrupt;corruption
6672e829cad8cb996c7fb2f5;congress;Divided between parties;partisanship
6676a7163e8ac376937ab791;congress;Legislative body;legislature
6676a7163e8ac376937ab791;congress;Has power to approve budgets;approve budgets
6676a7163e8ac376937ab791;congress;Elected representatives;elected representatives
6676a7163e8ac376937ab791;congress;Power to confrim appointments;confirm appointments
6676a7163e8ac376937ab791;congress;Conduct public hearings;public hearings
6676a7163e8ac376937ab791;congress;Opportunities for public petitions;public petitions
667c3d7b1869236fd5e924d1;congress;lawmakers;law making
667c3d7b1869236fd5e924d1;congress;senate;Senate
667c3d7b1869236fd5e924d1;congress;house of representatives;House of Representatives
667c3d7b1869236fd5e924d1;congress;debates;debates
667c3d7b1869236fd5e924d1;congress;legislation;law making
667c3d7b1869236fd5e924d1;congress;committees;committees
669fb915167d6c4b8e71dbfb;congress;Checks and balances: Congress provides checks and balances on the executive and judicial branches.;checks and balances
669fb915167d6c4b8e71dbfb;congress;Constitutional role: Congress plays a crucial role in interpreting and amending the Constitution.;constitution
669fb915167d6c4b8e71dbfb;congress;Public debate: Congress engages in public debate on important issues, shaping public opinion and policy.;public debate
669fb915167d6c4b8e71dbfb;congress;Filibusters and cloture: The Senate has rules allowing for filibusters and cloture votes to shape debate and legislation.;filibusters
669fb915167d6c4b8e71dbfb;congress;Committee system: Congress uses a committee system to organize and deliberate on legislation.;committees
669fb915167d6c4b8e71dbfb;congress;Partisanship: Congress is often characterized by partisanship, with members aligning with political parties.;partisanship
66ae4e1667d582012b15e0e9;congress;Ineffective;inefficiency
66ae4e1667d582012b15e0e9;congress;Divided;divided
66ae4e1667d582012b15e0e9;congress;Gridlocked;stagnant
66ae4e1667d582012b15e0e9;congress;Corrupt;corruption
66ae4e1667d582012b15e0e9;congress;Elite;elite
66ae4e1667d582012b15e0e9;congress;Calcified;stagnant
66bd6df5c20bfcfccf9219da;congress;checks and balances;checks and balances
66bd6df5c20bfcfccf9219da;congress;paid off;money influence
66bd6df5c20bfcfccf9219da;congress;boys club;elite
66bd6df5c20bfcfccf9219da;congress;dinosaurs;older generation
66bd6df5c20bfcfccf9219da;congress;outdated;outdated
66bd6df5c20bfcfccf9219da;congress;not democracy;undemocratic
66c4ef5e494f7f3b8fb3e78a;congress;law making;law making
66c4ef5e494f7f3b8fb3e78a;congress;balance of power;balance of power
66c4ef5e494f7f3b8fb3e78a;congress;House of Representatives;House of Representatives
66c4ef5e494f7f3b8fb3e78a;congress;Representatives are elected by constituents.;elected representatives
66c4ef5e494f7f3b8fb3e78a;congress;The United States is a republic so even though representatives in Congress are elected democratically, the decisions they make are not voted on by the people.;representative democracy
66c4ef5e494f7f3b8fb3e78a;congress;There are two chambers in the U.S. congress.;bicameral system
66c8d703a9dde9cf7ab92edf;congress;funding government functions and programs;government funding
66c8d703a9dde9cf7ab92edf;congress;holding hearings;public hearings
66c8d703a9dde9cf7ab92edf;congress;oversight of the executive branch;oversight
66c8d703a9dde9cf7ab92edf;congress;respect for human rights;human rights
66c8d703a9dde9cf7ab92edf;congress;fundamental freedoms;fundamental freedoms
66c8d703a9dde9cf7ab92edf;congress;holding free and fair elections;free and fair elections
66cb78f04ed4a1b1d34f276d;congress;law makers;law making
66cb78f04ed4a1b1d34f276d;congress;can declare war;declare war
66cb78f04ed4a1b1d34f276d;congress;legislative branch;legislative branch
66cb78f04ed4a1b1d34f276d;congress;suppose to represent the American people;representation
66cb78f04ed4a1b1d34f276d;congress;serves as the voice of the people;representation
66cb78f04ed4a1b1d34f276d;congress;Its responsibilities include funding government functions and programs;government funding
66cc8c5018e31d14f4cc6cf9;congress;meeting of leaders;leadership meeting
66cc8c5018e31d14f4cc6cf9;congress;representatives of our country;representation
66cc8c5018e31d14f4cc6cf9;congress;law making body;legislative body
66cc8c5018e31d14f4cc6cf9;congress;meets in Washington DC;location
66cc8c5018e31d14f4cc6cf9;congress;elected by the people;elected representatives
66cc8c5018e31d14f4cc6cf9;congress;is divided between parties;partisanship
560379c9e372c00011bd4a90;constitution;reflecting the will of the people and providing a basis for governmental power;democratic principles
560379c9e372c00011bd4a90;constitution;includes provisions for amendments, allowing for changes in response to evolving societal needs;amendment process
560379c9e372c00011bd4a90;constitution;It establishes procedures for how laws are made, enforced, and interpreted;legal framework
560379c9e372c00011bd4a90;constitution;Constitution ensures that everyone, including government officials, is subject to the law;rule of law
560379c9e372c00011bd4a90;constitution;guarantees fundamental rights and freedoms to citizens;rights and freedoms
560379c9e372c00011bd4a90;constitution;freedom of speech, religion, and the press, enshrined in a Bill of Rights;bill of rights
5b2812458ecf3f000161aca7;constitution;people like to scream about it without really discussing what it actually is;misunderstood
5b2812458ecf3f000161aca7;constitution;old document written by slave owners;historical document
5b2812458ecf3f000161aca7;constitution;specifically american;America
5b2812458ecf3f000161aca7;constitution;foundational document;fundamental law
5b2812458ecf3f000161aca7;constitution;thankfully amended;amendment process
5b2812458ecf3f000161aca7;constitution;in conversation it means what people want it to mean - like the bible.;misinterpreted
5c952f252e2e320019b1aa7b;constitution;Fundamental Law;fundamental law
5c952f252e2e320019b1aa7b;constitution;Rights and Freedoms;rights and freedoms
5c952f252e2e320019b1aa7b;constitution;Separation of Powers;separation of powers
5c952f252e2e320019b1aa7b;constitution;Checks and Balances;checks and balances
5c952f252e2e320019b1aa7b;constitution;Rule of Law;rule of law
5c952f252e2e320019b1aa7b;constitution;Amendment Process;amendment process
5dd405ab80123f3eaae9af80;constitution;The constitution outlines the functioning of a democracy.;democratic principles
5dd405ab80123f3eaae9af80;constitution;The constitution is the basis of a democracy.;democratic principles
5dd405ab80123f3eaae9af80;constitution;People wrote the constitution to ensure a democracy.;democratic principles
